head	relation	tail	time
South Korea	Express intent to meet or negotiate	Japan	2010-05-20
South Korea	Express intent to meet or negotiate	China	2015-10-10
South Korea	Express intent to meet or negotiate	Japan	2014-12-29
South Korea	Express intent to meet or negotiate	Japan	2008-03-30
South Korea	Express intent to meet or negotiate	Malaysia	2006-06-26
South Korea	Express intent to meet or negotiate	Japan	2007-05-03
South Korea	Express intent to meet or negotiate	Iran	2009-02-26
South Korea	Express intent to meet or negotiate	China	2009-02-21
South Korea	Express intent to meet or negotiate	China	2013-08-07
South Korea	Express intent to meet or negotiate	Japan	2009-07-12
South Korea	Express intent to meet or negotiate	China	2013-12-02
South Korea	Express intent to meet or negotiate	China	2011-06-07
South Korea	Express intent to meet or negotiate	Japan	2005-08-23
South Korea	Express intent to meet or negotiate	Ministry (South Korea)	2007-04-22
South Korea	Express intent to meet or negotiate	UN Security Council	2009-05-25
South Korea	Express intent to meet or negotiate	Association of Southeast Asian Nations	2007-10-08
South Korea	Express intent to meet or negotiate	China	2014-07-10
South Korea	Express intent to meet or negotiate	China	2006-10-04
South Korea	Express intent to meet or negotiate	Japan	2006-03-24
South Korea	Express intent to meet or negotiate	China	2005-07-19
South Korea	Express intent to meet or negotiate	Japan	2011-09-24
Antonis Samaras	Consult	Citizen (Greece)	2015-01-20
Antonis Samaras	Consult	Panhellenic Socialist Movement	2014-12-23
Antonis Samaras	Consult	Nicos Anastasiades	2014-07-28
Antonis Samaras	Consult	Democratic Left	2012-08-23
Antonis Samaras	Consult	Yannis Stournaras	2013-03-19
Antonis Samaras	Consult	Ministry of Tourism (China)	2013-05-14
Antonis Samaras	Consult	Yannis Stournaras	2014-05-23
Antonis Samaras	Consult	Angela Merkel	2012-06-17
Antonis Samaras	Consult	Yannis Stournaras	2012-10-15
Antonis Samaras	Consult	City Mayor (Greece)	2015-01-15
Antonis Samaras	Consult	Lawyer/Attorney (United Kingdom)	2014-10-14
Antonis Samaras	Consult	Pedro Manuel Mamede Passos Coelho	2014-09-09
Antonis Samaras	Consult	Herman Van Rompuy	2012-11-13
Antonis Samaras	Consult	Angela Merkel	2012-08-24
Antonis Samaras	Consult	Panhellenic Socialist Movement	2012-07-12
Lawyer/Attorney (United Kingdom)	Make statement	Lawyer/Attorney (Sweden)	2011-02-08
Lawyer/Attorney (United Kingdom)	Make statement	Newspaper (United Kingdom)	2008-12-11
Lawyer/Attorney (United Kingdom)	Make statement	News Editor (United Kingdom)	2012-05-30
Lawyer/Attorney (United Kingdom)	Make statement	Court Judge (United Kingdom)	2012-06-14
Lawyer/Attorney (United Kingdom)	Make statement	Court Judge (United Kingdom)	2012-06-12
Lawyer/Attorney (United Kingdom)	Make statement	Tony Blair	2014-10-14
Lawyer/Attorney (United Kingdom)	Make statement	Lawyer/Attorney (United States)	2009-03-24
Lawyer/Attorney (United Kingdom)	Make statement	Dr. Mohamed Haneef	2007-07-21
Lawyer/Attorney (United Kingdom)	Make statement	Alexander Valterovich Litvinenko	2015-07-30
Lawyer/Attorney (United Kingdom)	Make statement	Ireland	2005-11-11
Armed Gang (Denmark)	Use unconventional violence	Citizen (Denmark)	2015-02-14
Armed Gang (Denmark)	Use unconventional violence	Citizen (Denmark)	2015-02-15
Armed Gang (Denmark)	Use unconventional violence	Citizen (Denmark)	2007-11-23
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Muslim (Nigeria)	2012-04-15
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Royal Administration (Nigeria)	2013-12-30
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Government (Nigeria)	2014-10-21
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Government (Nigeria)	2009-07-27
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Isa Ayo Salami	2011-08-25
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Muhammadu Buhari	2015-07-29
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Government (Nigeria)	2014-07-29
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Government (Nigeria)	2012-09-06
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Government (Nigeria)	2014-01-07
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Government (Nigeria)	2015-07-24
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Government (Nigeria)	2014-02-28
Islam Karimov	Consult	Eurasian Economic Community	2006-08-17
Islam Karimov	Consult	Gurbanguly Berdymukhammedov	2007-10-18
Islam Karimov	Consult	Lee Myung Bak	2012-09-07
Islam Karimov	Consult	Eurasian Economic Community	2006-01-25
Islam Karimov	Consult	Eurasian Economic Community	2006-06-22
Islam Karimov	Consult	Eurasian Economic Community	2006-01-24
Islam Karimov	Consult	Cabinet / Council of Ministers / Advisors (United States)	2015-11-01
Islam Karimov	Consult	Cabinet / Council of Ministers / Advisors (United States)	2011-10-24
Islam Karimov	Consult	Dmitry Anatolyevich Medvedev	2010-04-21
Islam Karimov	Consult	Head of Government (Mongolia)	2005-07-05
Islam Karimov	Consult	Yerlan Idrisov	2013-03-27
Islam Karimov	Consult	China	2009-06-29
Islam Karimov	Consult	Xi Jinping	2014-08-20
Islam Karimov	Consult	Yoon Jeung Hyun	2010-05-05
Islam Karimov	Consult	Dmitry Anatolyevich Medvedev	2006-05-06
Islam Karimov	Consult	Head of Government (Turkmenistan)	2007-03-06
Islam Karimov	Consult	Businessperson (Uzbekistan)	2015-09-30
Islam Karimov	Consult	Gurbanguly Berdymukhammedov	2012-07-04
Islam Karimov	Consult	Xi Jinping	2014-09-12
Islam Karimov	Consult	Security Council (South Korea)	2013-07-02
Islam Karimov	Consult	Gurbanguly Berdymukhammedov	2009-02-25
Head of Government (Brazil)	Make statement	Labor Union (Brazil)	2011-09-13
Head of Government (Brazil)	Make statement	Military (Brazil)	2006-05-15
Head of Government (Brazil)	Make statement	Congress (Brazil)	2005-08-12
Head of Government (Brazil)	Make statement	Labor Union (Brazil)	2010-02-20
Head of Government (Brazil)	Make statement	Party Member (Brazil)	2013-12-14
Head of Government (Brazil)	Make statement	Barack Obama	2015-06-30
Head of Government (Brazil)	Make statement	Political Parties (Brazil)	2013-10-01
Head of Government (Brazil)	Make statement	Party Member (Brazil)	2012-09-19
Head of Government (Brazil)	Make statement	Barack Obama	2013-09-17
Head of Government (Brazil)	Make statement	Mexico	2011-03-25
Head of Government (Brazil)	Make statement	Ministry (Brazil)	2008-06-17
Citizen (Thailand)	Express intent to meet or negotiate	Abhisit Vejjajiva	2011-05-19
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2009-03-05
Citizen (Thailand)	Express intent to meet or negotiate	Sondhi Limthongkul	2010-06-28
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2007-11-17
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2010-03-19
Citizen (Thailand)	Express intent to meet or negotiate	Media Personnel (Thailand)	2012-10-11
Citizen (Thailand)	Express intent to meet or negotiate	Malaysia	2015-09-23
Citizen (Thailand)	Express intent to meet or negotiate	Cambodia	2015-12-16
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2015-09-15
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2006-12-28
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2008-07-06
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2010-05-24
Citizen (Thailand)	Express intent to meet or negotiate	National United Front for Democracy Against Dictatorship	2010-03-21
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2007-03-20
Citizen (Thailand)	Express intent to meet or negotiate	National United Front for Democracy Against Dictatorship	2010-04-03
Citizen (Thailand)	Express intent to meet or negotiate	Party Member (Thailand)	2005-09-28
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2008-12-20
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2006-06-07
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2005-01-12
Citizen (Thailand)	Express intent to meet or negotiate	Cabinet / Council of Ministers / Advisors (Thailand)	2013-04-20
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2014-01-26
Citizen (Thailand)	Express intent to meet or negotiate	Japan	2005-11-11
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2005-11-08
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2005-01-20
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2006-12-10
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2012-09-15
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2006-05-31
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2006-06-15
Citizen (Thailand)	Express intent to meet or negotiate	Justice Department/Ministery (Thailand)	2009-05-19
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2006-12-11
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2008-07-08
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2005-05-01
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2007-04-27
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2014-02-24
Citizen (Thailand)	Express intent to meet or negotiate	UN Security Council	2011-02-09
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2013-07-09
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2014-09-10
Citizen (Thailand)	Express intent to meet or negotiate	Thailand	2009-10-22
African Union	Make statement	Government (Sudan)	2005-12-01
African Union	Make statement	Mauritania	2005-08-10
African Union	Make statement	Iran	2015-12-16
African Union	Make statement	François Bozizé	2012-12-30
African Union	Make statement	Sudan	2008-01-13
African Union	Make statement	Military (Senegal)	2013-10-16
African Union	Make statement	Oluṣẹgun Ọbasanjọ	2005-08-17
African Union	Make statement	Ethiopia	2014-01-23
African Union	Make statement	Military (Madagascar)	2009-04-15
African Union	Make statement	UN Security Council	2008-12-22
African Union	Make statement	Military (Madagascar)	2009-06-03
African Union	Make statement	Mauritania	2008-08-09
African Union	Make statement	Sudan	2005-03-19
African Union	Make statement	China	2005-06-04
African Union	Make statement	Peacekeeping Troop (African Union)	2006-09-26
Mexico	Host a visit	Special Rapporteurs of the United Nations	2010-09-29
Mexico	Host a visit	Tourist (United States)	2007-04-29
Mexico	Host a visit	Cristina Fernández de Kirchner	2007-04-24
Mexico	Host a visit	Guatemala	2009-08-15
Mexico	Host a visit	Barack Obama	2011-05-10
Mexico	Host a visit	Carlos Pascual	2011-03-09
Mexico	Host a visit	Valdas Adamkus	2006-01-17
Mexico	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2011-01-24
Mexico	Host a visit	Raúl Castro	2015-11-09
Mexico	Host a visit	Barack Obama	2008-06-26
Mexico	Host a visit	Evo Morales	2007-01-20
Mexico	Host a visit	Activist (United States)	2012-05-24
Mexico	Host a visit	Álvaro García	2006-05-19
Mexico	Host a visit	Head of Government (Colombia)	2015-05-08
Mexico	Host a visit	Roh Moo Hyun	2005-09-08
Mexico	Host a visit	Lee Myung Bak	2012-06-11
Mexico	Host a visit	Secret Agent (Argentina)	2007-01-20
Mexico	Host a visit	China	2013-04-06
Mexico	Host a visit	Benedict XVI	2012-09-15
Mexico	Host a visit	Angela Merkel	2012-06-19
Mexico	Host a visit	City Mayor (United States)	2009-11-30
Mexico	Host a visit	Barack Obama	2009-01-08
Mexico	Host a visit	Raúl Castro	2009-01-23
Mexico	Host a visit	Defense / Security Ministry (United States)	2014-04-23
Mexico	Host a visit	Benedict XVI	2012-03-25
Mexico	Host a visit	City Mayor (United States)	2014-03-03
Mexico	Host a visit	Yoshihiko Noda	2012-06-17
Mexico	Host a visit	Raúl Castro	2015-10-29
Mexico	Host a visit	Xi Jinping	2013-05-31
Mexico	Host a visit	Ivonne Ortega Pacheco	2010-02-25
Mexico	Host a visit	Rafael Correa	2008-04-13
Mexico	Host a visit	John Paul II	2009-06-07
Mexico	Host a visit	Raúl Castro	2014-12-19
Mexico	Host a visit	Bill Richardson	2008-01-25
Mexico	Host a visit	Barack Obama	2009-08-06
Mexico	Host a visit	Cristina Fernández de Kirchner	2010-01-04
Mexico	Host a visit	Alberto Gonzales	2005-03-30
Mexico	Host a visit	Manlio Fabio Beltrones	2005-08-06
Mexico	Host a visit	Office of the United Nations High Commissioner for Human Rights	2015-09-30
Mexico	Host a visit	Jason Kenney	2008-04-03
Mexico	Host a visit	Yoani Sánchez	2013-03-10
Mexico	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2012-02-18
Mexico	Host a visit	Xi Jinping	2009-02-23
Mexico	Host a visit	Tourist (Canada)	2006-02-23
Mexico	Host a visit	Vietnam	2010-10-05
Mexico	Host a visit	Barack Obama	2009-03-21
Mexico	Host a visit	Xi Jinping	2013-06-05
Mexico	Host a visit	Roh Moo Hyun	2005-09-11
Mexico	Host a visit	Gloria Trevi	2010-03-31
Mexico	Host a visit	Salvador Sánchez Cerén	2015-08-12
Mexico	Host a visit	Meira Kumar	2011-04-13
Mexico	Host a visit	Rafael Correa	2008-04-11
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2013-09-24
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-05-31
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2015-12-16
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2008-06-18
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2009-09-18
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2010-12-21
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2013-09-09
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2014-11-29
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2009-04-23
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2009-01-23
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2008-04-21
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2011-09-05
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2013-02-01
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2005-08-29
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2010-06-01
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2014-09-01
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-04-13
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2011-11-11
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2013-07-25
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2014-10-06
Head of Government (Nigeria)	Make an appeal or request	Umaru Musa Yar'Adua	2008-01-02
Head of Government (Nigeria)	Make an appeal or request	Muslim (Nigeria)	2015-11-23
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2013-12-09
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-07-31
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2011-09-27
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2007-06-05
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-11-28
Head of Government (Nigeria)	Make an appeal or request	Oluṣẹgun Ọbasanjọ	2006-05-03
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2015-07-15
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-07-15
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2014-07-29
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2006-05-01
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2015-01-19
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2010-02-11
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-02-17
Head of Government (Nigeria)	Make an appeal or request	Other Authorities / Officials (Nigeria)	2008-09-19
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2012-01-24
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2010-05-14
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2014-09-15
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2007-10-01
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-11-10
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-04-17
Head of Government (Nigeria)	Make an appeal or request	Ibrahim Hassan Dankwambo	2012-07-03
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2008-08-29
Head of Government (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2014-07-18
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2013-06-27
Head of Government (Nigeria)	Make an appeal or request	Government (Nigeria)	2009-11-16
