,head,relation,tail,time
1721,Boko Haram,Use conventional military force,Citizen (Nigeria),2015-02-27
1722,Citizen (Nigeria),Use unconventional violence,Boko Haram,2015-02-27
1723,France,Host a visit,Iran,2015-03-04
1724,Iran,Make a visit,France,2015-03-04
1725,Iran,Engage in negotiation,Barack Obama,2015-03-04
1726,Barack Obama,Meet at a 'third' location,Iran,2015-03-04
1727,Angela Merkel,Make a visit,Japan,2015-03-09
1728,Japan,Host a visit,Angela Merkel,2015-03-09
1729,Police (South Africa),Use conventional military force,Men (South Africa),2015-03-10
1730,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2015-03-10
1731,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2015-03-10
1732,Vietnam,Express intent to settle dispute,China,2015-03-11
1733,China,Criticize or denounce,Vietnam,2015-03-11
1734,Phil Hogan,Make a visit,Romania,2015-03-13
1735,Romania,Host a visit,Phil Hogan,2015-03-13
1736,Nir Barkat,Make a visit,South Africa,2015-03-13
1737,South Africa,Host a visit,Nir Barkat,2015-03-13
1738,China,Express intent to meet or negotiate,Japan,2015-03-17
1739,Japan,Consult,China,2015-03-17
1740,Barack Obama,Express intent to cooperate,Benjamin Netanyahu,2015-03-19
1741,Benjamin Netanyahu,Criticize or denounce,Barack Obama,2015-03-19
1742,Japan,Consult,China,2015-03-20
1743,China,Make an appeal or request,Japan,2015-03-20
1744,China,Criticize or denounce,Japan,2015-03-20
1745,South Korea,Host a visit,China,2015-03-21
1746,China,Consult,South Korea,2015-03-21
1747,South Korea,Host a visit,Japan,2015-03-21
1748,Japan,Engage in diplomatic cooperation,South Korea,2015-03-21
1749,Japan,Engage in diplomatic cooperation,China,2015-03-22
1750,China,Make a visit,South Korea,2015-03-22
1751,Japan,Sign formal agreement,China,2015-03-22
1752,South Korea,Host a visit,China,2015-03-22
1753,China,Engage in negotiation,Japan,2015-03-22
1754,Angela Merkel,Host a visit,Alexis Tsipras,2015-03-23
1755,Angela Merkel,Express intent to engage in diplomatic cooperation (such as policy support),Alexis Tsipras,2015-03-23
1756,Alexis Tsipras,Express intent to meet or negotiate,Angela Merkel,2015-03-23
1757,Military (Middle East),Mobilize or increase armed forces,Yemen,2015-03-24
1758,Yemen,Make statement,Military (Middle East),2015-03-24
1759,Japan,Engage in diplomatic cooperation,China,2015-03-26
1760,China,Meet at a 'third' location,Japan,2015-03-26
1761,Benjamin Netanyahu,Consult,Barack Obama,2015-04-04
1762,Barack Obama,Discuss by telephone,Benjamin Netanyahu,2015-04-04
1763,Citizen (Nigeria),Engage in symbolic act,Muhammadu Buhari,2015-04-06
1764,Muhammadu Buhari,Make an appeal or request,Citizen (Nigeria),2015-04-06
1765,Government (Nigeria),Accuse,Citizen (Nigeria),2015-04-07
1766,Citizen (Nigeria),Make optimistic comment,Government (Nigeria),2015-04-07
1767,Bernd Lange,Make a visit,Vietnam,2015-04-10
1768,Vietnam,Host a visit,Bernd Lange,2015-04-10
1769,Barack Obama,Meet at a 'third' location,Raúl Castro,2015-04-11
1770,Raúl Castro,Make statement,Barack Obama,2015-04-11
1771,Raúl Castro,Engage in negotiation,Barack Obama,2015-04-13
1772,Barack Obama,Consult,Raúl Castro,2015-04-13
1773,Raúl Castro,Engage in negotiation,Barack Obama,2015-04-15
1774,Barack Obama,Consult,Raúl Castro,2015-04-15
1775,Gen Tanasak Patimapragorn,Make a visit,The Hague,2015-04-15
1776,The Hague,Host a visit,Gen Tanasak Patimapragorn,2015-04-15
1777,Japan,Consult,China,2015-04-24
1778,China,Express intent to cooperate economically,Japan,2015-04-24
1779,Abdel Fattah Al-Sisi,Consult,Royal Administration (Spain),2015-05-01
1780,Royal Administration (Spain),Host a visit,Abdel Fattah Al-Sisi,2015-05-01
1781,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-05-08
1782,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2015-05-08
1783,International Court of Justice,Make a visit,The Hague,2015-05-10
1784,The Hague,Host a visit,International Court of Justice,2015-05-10
1785,Armed Gang (Macedonia),Use unconventional violence,Police (Macedonia),2015-05-11
1786,Police (Macedonia),Use conventional military force,Armed Gang (Macedonia),2015-05-11
1787,Yemen,Make statement,Iran,2015-05-13
1788,Iran,Express intent to provide humanitarian aid,Yemen,2015-05-13
1789,Citizen (Nigeria),Bring lawsuit against,Government (Nigeria),2015-05-14
1790,Government (Nigeria),Give ultimatum,Citizen (Nigeria),2015-05-14
1791,Citizen (Sudan),Make an appeal or request,Government (Sudan),2015-05-18
1792,Government (Sudan),"Arrest, detain, or charge with legal action",Citizen (Sudan),2015-05-18
1793,France,Host a visit,Klaus Johannis,2015-05-29
1794,Klaus Johannis,Make a visit,France,2015-05-29
1795,International Monetary Fund,Express intent to engage in diplomatic cooperation (such as policy support),European Central Bank,2015-06-02
1796,European Central Bank,Consult,International Monetary Fund,2015-06-02
1797,Head of Government (Egypt),Make a visit,Joachim Gauck,2015-06-03
1798,Joachim Gauck,Host a visit,Head of Government (Egypt),2015-06-03
1799,Abdel Fattah Al-Sisi,Make a visit,Viktor Orban,2015-06-05
1800,Viktor Orban,Host a visit,Abdel Fattah Al-Sisi,2015-06-05
1801,Werner Faymann,Express intent to meet or negotiate,Alexis Tsipras,2015-06-17
1802,Alexis Tsipras,Make a visit,Werner Faymann,2015-06-17
1803,Citizen (Saudi Arabia),Make a visit,Iran,2015-06-17
1804,Iran,Host a visit,Citizen (Saudi Arabia),2015-06-17
1805,Massoud Barzani,Make a visit,Kuwait,2015-06-18
1806,Kuwait,Host a visit,Massoud Barzani,2015-06-18
1807,Japan,Express intent to cooperate,South Korea,2015-06-21
1808,South Korea,Make a visit,Japan,2015-06-21
1809,Japan,Consult,South Korea,2015-06-22
1810,Japan,Reduce relations,South Korea,2015-06-22
1811,South Korea,Engage in diplomatic cooperation,Japan,2015-06-22
1812,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2015-06-22
1813,South Africa,Host a visit,African Union,2015-06-25
1814,African Union,Consult,South Africa,2015-06-25
1815,Bank (Greece),Host a visit,European Central Bank,2015-06-28
1816,European Central Bank,Make a visit,Bank (Greece),2015-06-28
1817,Alexis Tsipras,Accuse,Citizen (Greece),2015-06-29
1818,Alexis Tsipras,Criticize or denounce,Citizen (Greece),2015-06-29
1819,Citizen (Greece),Reject,Alexis Tsipras,2015-06-29
1820,Barack Obama,Discuss by telephone,Angela Merkel,2015-07-07
1821,Angela Merkel,Consult,Barack Obama,2015-07-07
1822,South Africa,Express intent to meet or negotiate,China,2015-07-09
1823,China,Sign formal agreement,South Africa,2015-07-09
1824,Militant (Taliban),Use unconventional violence,Military Personnel - Special (Afghanistan),2015-07-10
1825,Military Personnel - Special (Afghanistan),Use conventional military force,Militant (Taliban),2015-07-10
1826,Shura Council,Make a visit,Sheikh Hamad bin Isa al Khalifah,2015-07-14
1827,Sheikh Hamad bin Isa al Khalifah,Host a visit,Shura Council,2015-07-14
1828,Barack Obama,Engage in negotiation,Iran,2015-07-15
1829,Iran,Sign formal agreement,Barack Obama,2015-07-15
1830,Criminal (China),Threaten with military force,China,2015-07-20
1831,China,Engage in diplomatic cooperation,Thailand,2015-07-20
1832,Thailand,Make a visit,China,2015-07-20
1833,China,Make statement,Criminal (China),2015-07-20
1834,Barack Obama,Host a visit,Muhammadu Buhari,2015-07-23
1835,Muhammadu Buhari,Make an appeal or request,Barack Obama,2015-07-23
1836,Thailand,Sign formal agreement,China,2015-07-25
1837,China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2015-07-25
1838,Barack Obama,Make a visit,Uhuru Muigai Kenyatta,2015-07-26
1839,Uhuru Muigai Kenyatta,Engage in negotiation,Barack Obama,2015-07-26
1840,Ethiopia,Consult,Barack Obama,2015-07-27
1841,Barack Obama,Criticize or denounce,Ethiopia,2015-07-27
1842,Foreign Affairs (France),Make a visit,Iran,2015-07-29
1843,Iran,Host a visit,Foreign Affairs (France),2015-07-29
1844,Foreign Affairs (Israel),Make a visit,Gurbanguly Berdymukhammedov,2015-08-18
1845,Gurbanguly Berdymukhammedov,Host a visit,Foreign Affairs (Israel),2015-08-18
1846,Iran,Host a visit,France,2015-08-18
1847,France,Make a visit,Iran,2015-08-18
1848,Head of Government (India),Make a visit,United Arab Emirates,2015-08-19
1849,United Arab Emirates,Host a visit,Head of Government (India),2015-08-19
1850,Philip Hammond,Engage in negotiation,Iran,2015-08-23
1851,Iran,Consult,Philip Hammond,2015-08-23
1852,Philip Hammond,Make a visit,Iran,2015-08-23
1853,Iran,Make a visit,South Africa,2015-08-29
1854,South Africa,Host a visit,Iran,2015-08-29
1855,Government (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2015-09-02
1856,Citizen (Nigeria),Criticize or denounce,Muhammadu Buhari,2015-09-02
1857,Muhammadu Buhari,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2015-09-02
1858,Citizen (Nigeria),Appeal for rights,Government (Nigeria),2015-09-02
1859,Abdel Fattah Al-Sisi,Consult,Xi Jinping,2015-09-03
1860,Xi Jinping,Praise or endorse,Abdel Fattah Al-Sisi,2015-09-03
1861,Ram Gopal Yadav,Make statement,Amit Shah,2015-09-03
1862,Amit Shah,Consult,Ram Gopal Yadav,2015-09-03
1863,Tanzania,Make a visit,Vietnam,2015-09-04
1864,Vietnam,Host a visit,Tanzania,2015-09-04
1865,South Korea,Appeal for diplomatic cooperation (such as policy support),China,2015-09-05
1866,China,Consult,South Korea,2015-09-05
1867,Citizen (Uganda),Demonstrate or rally,Police (Uganda),2015-09-11
1868,Police (Uganda),Use conventional military force,Citizen (Uganda),2015-09-11
1869,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2015-09-20
1870,Citizen (Australia),Threaten,Police (Australia),2015-09-20
1871,France,Make a visit,Iran,2015-09-21
1872,France,Express intent to meet or negotiate,Iran,2015-09-21
1873,France,Sign formal agreement,Iran,2015-09-21
1874,Iran,Engage in diplomatic cooperation,France,2015-09-21
1875,Barack Obama,Criticize or denounce,Xi Jinping,2015-09-25
1876,Barack Obama,Threaten,Xi Jinping,2015-09-25
1877,Xi Jinping,Express intent to settle dispute,Barack Obama,2015-09-25
1878,Barack Obama,Make empathetic comment,Joanne Liu,2015-10-08
1879,Joanne Liu,Discuss by telephone,Barack Obama,2015-10-08
1880,Israeli Defense Forces,fight with small arms and light weapons,"Women (Palestinian Territory, Occupied)",2015-10-11
1881,"Women (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2015-10-11
1882,France,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2015-10-14
1883,Iran,Engage in diplomatic cooperation,France,2015-10-14
1884,Mahmoud Abbas,Engage in negotiation,Benjamin Netanyahu,2015-10-23
1885,Benjamin Netanyahu,Accuse,Mahmoud Abbas,2015-10-23
1886,South Korea,Host a visit,China,2015-10-29
1887,China,Engage in negotiation,South Korea,2015-10-29
1888,Islam Karimov,Consult,Cabinet / Council of Ministers / Advisors (United States),2015-11-01
1889,Cabinet / Council of Ministers / Advisors (United States),Host a visit,Islam Karimov,2015-11-01
1890,South Korea,Consult,Japan,2015-11-02
1891,Japan,Engage in negotiation,South Korea,2015-11-02
1892,Xi Jinping,Engage in negotiation,Ma Ying Jeou,2015-11-07
1893,Ma Ying Jeou,Demand,Xi Jinping,2015-11-07
1894,Ma Ying Jeou,Criticize or denounce,Xi Jinping,2015-11-07
1895,Xi Jinping,Engage in negotiation,Ma Ying Jeou,2015-11-08
1896,Ma Ying Jeou,Make statement,Xi Jinping,2015-11-08
1897,Mexico,Host a visit,Raúl Castro,2015-11-09
1898,Mahmoud Abbas,Make statement,Abdel Fattah Al-Sisi,2015-11-09
1899,Raúl Castro,Make a visit,Mexico,2015-11-09
1900,Abdel Fattah Al-Sisi,Engage in negotiation,Mahmoud Abbas,2015-11-09
1901,Government (Nigeria),Impose administrative sanctions,Citizen (Nigeria),2015-11-10
1902,Barack Obama,Make statement,Benjamin Netanyahu,2015-11-10
1903,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2015-11-10
1904,Benjamin Netanyahu,"Reject proposal to meet, discuss, or negotiate",Barack Obama,2015-11-10
1905,Benjamin Netanyahu,Express intent to cooperate,Barack Obama,2015-11-11
1906,Barack Obama,Consult,Benjamin Netanyahu,2015-11-11
1907,Foreign Affairs (France),Make a visit,Head of Government (Mongolia),2015-11-19
1908,Head of Government (Mongolia),Host a visit,Foreign Affairs (France),2015-11-19
1909,Algirdas Butkevičius,Make statement,Saulius Skvernelis,2015-11-30
1910,Saulius Skvernelis,Consult,Algirdas Butkevičius,2015-11-30
1911,Citizen (Australia),Criticize or denounce,Police (Australia),2015-12-03
1912,Police (Australia),Make optimistic comment,Citizen (Australia),2015-12-03
1913,China,Express intent to meet or negotiate,South Korea,2015-12-05
1914,South Korea,Engage in negotiation,China,2015-12-05
1915,Thailand,Host a visit,Alhaji Lai Mohammed,2015-12-06
1916,Alhaji Lai Mohammed,Make a visit,Thailand,2015-12-06
1917,Joanne Liu,Make an appeal or request,Barack Obama,2015-12-09
1918,Barack Obama,Make empathetic comment,Joanne Liu,2015-12-09
1919,Barack Obama,Discuss by telephone,Xi Jinping,2015-12-11
1920,Xi Jinping,Express intent to cooperate,Barack Obama,2015-12-11
1921,Attacker (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2015-12-12
1922,Military Personnel - Special (Afghanistan),fight with small arms and light weapons,Attacker (Afghanistan),2015-12-12
1923,Uhuru Muigai Kenyatta,Host a visit,Barack Obama,2015-12-31
1924,Barack Obama,Make a visit,Uhuru Muigai Kenyatta,2015-12-31
