head	relation	tail	time
China	Consult	South Korea	2011-04-26
Belize	Consult	Guatemala	2008-05-29
Foreign Affairs (Denmark)	Consult	Foreign Affairs (Israel)	2009-01-06
Benjamin Netanyahu	Consult	Barack Obama	2010-05-26
Benjamin Netanyahu	Consult	Defense / Security Ministry (United States)	2012-09-09
Ethiopia	Consult	Sudan	2014-09-23
Japan	Sign formal agreement	A.P. Sharma	2011-02-18
Nabih Berri	Consult	Lawmaker (Lebanon)	2014-10-22
Dmitry Anatolyevich Medvedev	Consult	Mikhail Yefimovich Fradkov	2014-09-15
Japan	Sign formal agreement	China	2008-07-04
Barack Obama	Consult	Head of Government (Nigeria)	2014-05-05
Angela Merkel	Consult	Barack Obama	2015-06-07
African Union	Sign formal agreement	UN Security Council	2007-06-27
Thailand	Express intent to cooperate	Cambodia	2015-09-01
Catherine Ashton	Consult	Mahmoud Abbas	2010-10-02
Barack Obama	Consult	Dmitry Anatolyevich Medvedev	2011-05-26
Military Personnel (Thailand)	Discuss by telephone	Agence France-Presse	2013-05-23
Mexico	Consult	South Korea	2010-07-05
Benjamin Netanyahu	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-01-24
Angela Merkel	Consult	France	2007-03-08
Philip Ruddock	Consult	Alberto Gonzales	2005-07-29
Vietnam	Express intent to cooperate	China	2010-07-01
China	Engage in negotiation	Yemen	2010-05-18
China	Consult	Businessperson (China)	2015-09-11
Vietnam	Consult	China	2011-06-14
USAID	Sign formal agreement	Ethiopia	2010-09-23
Japan	Engage in diplomatic cooperation	South Korea	2015-11-06
Vincent C. Siew	Consult	Xi Jinping	2014-11-27
House of Representatives (Japan)	Engage in negotiation	Takahiro Yokomichi	2010-10-27
South Korea	Engage in diplomatic cooperation	Japan	2005-01-18
Media (Africa)	Consult	Police (Kenya)	2007-06-07
Daniel Ortega	Consult	José Miguel Insulza	2007-10-04
Benjamin Netanyahu	Consult	María Ángela Holguín	2011-10-19
South Korea	Express intent to cooperate	Japan	2005-09-14
Tony Tan Keng Yam	Consult	Angela Merkel	2014-08-20
China	Express intent to cooperate	Japan	2007-04-11
Javier Solana	Meet at a 'third' location	UN Security Council	2007-03-20
Other Authorities / Officials (Africa)	Sign formal agreement	Annick Girardin	2015-11-03
Kazakhstan	Engage in diplomatic cooperation	Iran	2013-10-28
Mahmoud Abbas	Engage in negotiation	Benjamin Netanyahu	2010-09-17
Japan	Meet at a 'third' location	South Korea	2015-08-04
Foreign Affairs (Syria)	Consult	France	2011-07-12
Juan Carlos I	Engage in negotiation	Barack Obama	2010-02-17
Japan	Consult	South Korea	2011-03-08
Iran	Engage in negotiation	Javier Solana	2008-08-04
Burundi	Engage in diplomatic cooperation	Iran	2015-02-04
Wen Jiabao	Discuss by telephone	Angela Merkel	2007-03-20
Sudan	Engage in diplomatic cooperation	Eritrea	2015-10-02
Mexico	Consult	Dominican Republic	2007-06-18
Tatarstan	Engage in negotiation	Iran	2007-12-17
Lawyer/Attorney (Australia)	Consult	Philip Ruddock	2006-03-23
Iran	Sign formal agreement	Barack Obama	2015-11-22
China	Declare truce, ceasefire	Malaysia	2005-04-25
Christine Lagarde	Consult	Foreign Affairs (France)	2008-11-30
Uhuru Muigai Kenyatta	Consult	M.R. Sharma	2014-06-25
Barack Obama	Consult	Raúl Castro	2015-03-26
Ona	Consult	Daily Trust	2013-10-08
Al Sharq al Awsat	Consult	Ali Abdullah Saleh	2015-04-05
South Korea	Engage in negotiation	Japan	2015-10-29
France	Consult	Japan	2008-06-27
Envoy (United States)	Consult	Mahmoud Abbas	2013-12-09
Japan	Engage in diplomatic cooperation	South Korea	2007-12-21
Government (Nigeria)	Engage in negotiation	Boko Haram	2011-08-29
Head of Government (Greece)	Engage in negotiation	Dmitry Anatolyevich Medvedev	2015-04-10
Juan Carlos I	Consult	Emperor Akihito	2008-11-10
Edgars Rinkevics	Consult	Milo Djukanovic	2015-05-12
Zhang Dejiang	Consult	Yu Zhengsheng	2013-03-10
Abdullah Gül	Consult	Juan Carlos I	2006-02-03
Mahmoud Abbas	Meet at a 'third' location	Shimon Peres	2013-07-21
Dmitry Anatolyevich Medvedev	Consult	Alexis Tsipras	2015-04-09
Military Personnel (India)	Consult	Governor (India)	2014-06-19
Qatar	Sign formal agreement	United Arab Emirates	2008-03-24
France	Sign formal agreement	United Arab Emirates	2008-08-27
Nuri al-Maliki	Engage in negotiation	Mahmoud Ahmadinejad	2013-07-19
Radoslaw Sikorski	Consult	Defense / Security Ministry (Poland)	2006-05-10
Japan	Express intent to cooperate	South Korea	2008-10-05
Mahmoud Abbas	Consult	Angela Merkel	2012-01-19
China	Consult	South Africa	2015-06-09
Laos	Consult	Vietnam	2007-02-28
Xi Jinping	Consult	Vincent C. Siew	2013-04-15
Lee Myung Bak	Consult	Head of Government (India)	2010-11-09
Iran	Express intent to cooperate	Romania	2006-08-25
Amit Shah	Consult	Ram Gopal Yadav	2015-09-02
Cambodia	Meet at a 'third' location	Thailand	2013-03-13
Vietnam	Sign formal agreement	Thailand	2005-11-07
Office of the Attorney General	Sign formal agreement	Royal Thai Police	2015-08-10
Veterans (Thailand)	Consult	Thailand	2013-08-20
Joon Young Woo	Consult	China	2006-03-10
Royal Administration (Saudi Arabia)	Consult	Saud bin Faisal bin Abdul-Aziz	2007-03-21
Mahmoud Abbas	Express intent to cooperate	Angela Merkel	2010-02-01
Mahmoud Abbas	Consult	Catherine Ashton	2011-02-16
Joyce Anelay	Meet at a 'third' location	Ramtane Lamamra	2015-03-03
Military (Albania)	Consult	Sali Berisha	2005-12-20
Iran	Consult	China	2009-10-02
Other Authorities / Officials (Mexico)	Express intent to cooperate militarily	Mexico	2010-08-25
South Korea	Consult	Japan	2015-07-12
Head of Government (Pakistan)	Engage in negotiation	Pervez Musharraf	2006-07-12
Lubomír Galko	Consult	Alexandr Vondra	2010-07-29
Vietnam	Engage in diplomatic cooperation	Cambodia	2006-02-27
Thailand	Engage in diplomatic cooperation	China	2009-11-20
Benjamin Netanyahu	Consult	Barack Obama	2015-04-03
Barack Obama	Consult	France	2009-04-11
National Democratic Front (Mexico)	Consult	Mexico	2008-05-31
Envoy (United States)	Consult	Mahmoud Abbas	2014-03-24
Business (Jordan)	Consult	Ministry (Jordan)	2007-09-13
Government (Georgia)	Sign formal agreement	International Monetary Fund	2013-11-18
Muhammad VI	Consult	Ali Abdullah Saleh	2007-03-11
Antonis Samaras	Engage in negotiation	Angela Merkel	2012-03-02
Japan	Sign formal agreement	China	2006-06-08
Eurasian Economic Community	Consult	Islam Karimov	2006-01-24
Iraq	Engage in diplomatic cooperation	Iran	2013-12-16
Barack Obama	Engage in negotiation	Other Authorities / Officials (Mexico)	2009-04-16
Thailand	Engage in negotiation	South Korea	2008-08-19
Okada Katsuya	Consult	Party President (The Democratic Party of Japan)	2015-07-08
Media (Africa)	Consult	Albert Kawana	2013-04-10
Qatar	Consult	Oman	2007-09-21
Armed Rebel (Gabon)	Sign formal agreement	Head of Government (Gabon)	2013-01-21
Head of Government (Belarus)	Express intent to cooperate	Vietnam	2011-12-01
South Korea	Consult	China	2005-06-13
Mahmoud Ahmadinejad	Consult	Fayez Tarawneh	2012-07-09
Foreign Affairs (France)	Consult	Cabinet / Council of Ministers / Advisors (Kazakhstan)	2014-07-23
UN Security Council	Engage in negotiation	Mahmoud Abbas	2011-08-15
Dmitry Anatolyevich Medvedev	Sign formal agreement	Sergey Bagapsh	2010-02-23
Foreign Affairs (South Korea)	Sign formal agreement	Government Official (Ireland)	2009-12-21
Elmar Mammadyarov	Consult	Cabinet / Council of Ministers / Advisors (United States)	2009-05-06
Tony Blair	Engage in negotiation	Wen Jiabao	2009-08-20
Héctor Méndez	Sign formal agreement	Argentine Industrial Union	2006-09-12
Pervez Musharraf	Consult	Tariq Aziz	2008-08-11
Justice Department/Ministery (Thailand)	Sign formal agreement	Ministry of Public Security (Vietnam)	2010-03-04
China	Consult	South Korea	2012-11-30
Cabinet / Council of Ministers / Advisors (Holy See (Vatican City State))	Consult	Heraldo Muñoz	2015-05-06
Al Jazeera	Consult	Micky Rosenfeld	2015-10-12
Association of Southeast Asian Nations	Engage in diplomatic cooperation	China	2011-11-15
Tony Blair	Consult	Bertie Ahern	2006-01-26
China	Engage in negotiation	Japan	2013-03-26
Yemen	Consult	China	2005-11-22
Tony Blair	Consult	Bertie Ahern	2006-09-16
Kazakhstan	Engage in diplomatic cooperation	China	2007-11-08
Foreign Affairs (Italy)	Consult	Foreign Affairs (India)	2013-03-12
Lien Chan	Consult	Ma Ying Jeou	2006-04-12
China	Consult	Japan	2008-10-28
Iran	Engage in diplomatic cooperation	Oman	2014-12-02
Xi Jinping	Consult	Barack Obama	2013-05-31
Thailand	Engage in diplomatic cooperation	Cambodia	2010-09-01
South Korea	Express intent to cooperate	China	2005-05-28
Nuri al-Maliki	Consult	Dmitry Anatolyevich Medvedev	2012-11-13
Cláudio Lembo	Sign formal agreement	Ministry (Brazil)	2006-08-18
Raúl Castro	Consult	Dmitry Anatolyevich Medvedev	2008-12-01
Lisa Murkowski	Consult	Vietnam	2005-04-19
African Union	Consult	Ethiopia	2014-01-30
Togo	Sign formal agreement	China	2010-11-10
Other Authorities / Officials (Turkey)	Consult	Party Member (Turkey)	2008-03-19
Association of Southeast Asian Nations	Engage in diplomatic cooperation	China	2006-07-05
Police (Saudi Arabia)	Consult	Employee (Saudi Arabia)	2012-08-06
China	Consult	Wen Jiabao	2006-03-10
Yemen	Engage in diplomatic cooperation	China	2014-03-20
Branko Crvenkovski	Consult	Vlado Buckovski	2006-12-11
Raúl Castro	Consult	Barack Obama	2014-12-20
France	Consult	China	2005-09-01
Dmitry Anatolyevich Medvedev	Engage in negotiation	Lee Myung Bak	2008-10-01
Evangelos Meimarakis	Consult	France	2006-06-15
Head of Government (South Korea)	Consult	Julia Gillard	2011-04-25
Iran	Consult	Islamic Preacher (Iran)	2014-07-05
China	Consult	Japan	2007-08-30
Onyema Ugochukwu	Discuss by telephone	Media (Nigeria)	2008-03-10
China	Consult	Japan	2007-02-13
Daniel Scioli	Consult	Cristina Fernández de Kirchner	2015-10-29
Elmar Mammadyarov	Consult	Ministry (Sri Lanka)	2007-08-17
Abhisit Vejjajiva	Consult	Anupong Paochinda	2010-04-27
Qatar	Express intent to cooperate	South Korea	2012-02-10
Laos	Engage in diplomatic cooperation	Vietnam	2008-08-13
Benjamin Netanyahu	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2015-10-13
Amina Mohamed	Consult	Foreign Affairs (Uruguay)	2005-05-13
Angela Merkel	Consult	Wen Jiabao	2007-03-20
Cambodia	Express intent to cooperate	Thailand	2012-07-02
Dmitry Anatolyevich Medvedev	Consult	Businessperson (Germany)	2010-07-15
Mahmoud Abbas	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2013-06-27
Lee Myung Bak	Consult	South Korea	2009-09-30
Media Personnel (Uganda)	Discuss by telephone	Agence France-Presse	2007-03-06
Foreign Affairs (Mauritania)	Consult	UN Security Council	2011-06-15
Kazakhstan	Engage in diplomatic cooperation	UN Security Council	2012-09-18
Togo	Engage in diplomatic cooperation	China	2011-02-14
Kazakhstan	Sign formal agreement	France	2008-07-02
Muhammadu Buhari	Consult	Ibrahim Shehu Shema	2011-04-01
Foreign Affairs (Italy)	Consult	Dmitry Anatolyevich Medvedev	2006-10-23
Agence France-Presse	Discuss by telephone	Governor (Thailand)	2005-01-23
Japan	Engage in diplomatic cooperation	China	2007-08-14
Industrial / Textiles / Mining Ministry (Tanzania)	Consult	Chen Deming	2010-01-15
Alexis Tsipras	Consult	Jacob J. Lew	2015-06-22
Foreign Affairs (France)	Consult	Iran	2008-09-22
Aleksander Kwasniewski	Consult	Heinz Fischer	2005-12-02
Vietnam	Express intent to cooperate	Thailand	2013-06-26
Member of Legislative (Govt) (Slovenia)	Consult	Ivan Gasparovic	2005-07-08
Dmitry Anatolyevich Medvedev	Consult	Barack Obama	2009-03-26
Terje Roed Larsen	Consult	Mahmoud Abbas	2007-09-28
Prelate (Mexico)	Consult	National Action Party	2012-04-18
Minni Minnawi	Discuss by telephone	Agence France-Presse	2011-01-25
Representatives (Russia)	Consult	Iran	2014-11-19
Police (Israel)	Engage in negotiation	Criminal (Israel)	2012-07-31
Moro Islamic Liberation Front	Consult	Moro National Liberation Front	2006-04-13
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2012-12-04
Mauritania	Engage in diplomatic cooperation	Yemen	2006-10-08
Abdullah Gül	Consult	Nicos Anastasiades	2005-02-12
Defense / Security Ministry (United States)	Consult	Abdelkader Messahel	2014-12-10
Envoy (United States)	Engage in negotiation	China	2006-05-25
South Korea	Engage in negotiation	China	2005-07-26
Japan	Consult	China	2007-01-24
China	Express intent to cooperate	Japan	2010-08-22
Vietnam	Engage in diplomatic cooperation	Cambodia	2006-03-22
Iran	Sign formal agreement	Japan	2015-02-25
China	Engage in negotiation	Chen Bingde	2009-10-15
The Daily News (South Africa)	Consult	Police (South Africa)	2007-03-28
The Chronicle	Consult	New Patriotic Party	2011-08-15
Nabil Shaath	Engage in negotiation	Foreign Affairs (Latin America)	2015-03-04
Pervez Musharraf	Engage in negotiation	Benazir Bhutto	2007-07-29
Cambodia	Consult	Laos	2008-11-21
Mahmoud Ahmadinejad	Engage in negotiation	Pervez Musharraf	2007-02-07
Xi Jinping	Engage in negotiation	Teodoro Obiang Nguema Mbasogo	2015-04-28
Foreign Affairs (France)	Consult	Government (France)	2010-03-02
Boris Vyacheslavovich Gryzlov	Consult	Representatives (Russia)	2009-10-16
Barack Obama	Consult	Ashraf Ghani Ahmadzai	2015-03-31
Uhuru Muigai Kenyatta	Sign formal agreement	William Ruto	2013-03-12
Head of Government (South Korea)	Engage in negotiation	Wen Jiabao	2012-05-14
Madagascar	Consult	Malawi	2006-11-27
South Korea	Express intent to cooperate	China	2007-07-03
Envoy (United States)	Consult	Mahmoud Abbas	2013-09-17
Daniel Ortega	Consult	Guerrilla (Colombia)	2008-07-15
Catherine Ashton	Engage in negotiation	Igor Ivanovich Shuvalov	2009-07-01
Snežana Malović	Consult	Dražen Bošnjaković	2011-07-08
Barack Obama	Consult	Georgios Papandreou	2011-11-16
Main Opposition (For Justice and Development)	Express intent to cooperate	Peace, Unity, and Development Party	2008-05-27
Mahmoud Abbas	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-06-02
South Korea	Engage in negotiation	China	2015-09-24
Arnold Rüütel	Consult	Aleksander Kwasniewski	2005-07-06
China	Engage in diplomatic cooperation	Malaysia	2009-06-05
Guatemala	Sign formal agreement	Colombia	2005-08-01
Angola	Engage in diplomatic cooperation	France	2008-02-29
China	Engage in negotiation	Yasuo Fukuda	2007-12-28
Hashim Thaçi	Consult	Javier Solana	2005-07-20
Foreign Affairs (India)	Consult	Toryalai Wesa	2011-10-24
Vietnam	Engage in diplomatic cooperation	Japan	2013-07-02
Police (Malaysia)	Consult	UN Security Council	2013-08-02
Association of Southeast Asian Nations	Consult	Wen Jiabao	2007-11-21
Defense / Security Ministry (United States)	Consult	Abdullah Gül	2005-01-31
Japan	Express intent to cooperate	China	2006-05-23
Muhammadu Buhari	Consult	Tony Blair	2015-02-24
Japan	Express intent to cooperate	China	2009-05-04
Government Official (Russia)	Express intent to cooperate	Japan	2005-11-01
Ministry (Iran)	Consult	Gurbanguly Berdymukhammedov	2012-11-28
Ivan Gasparovic	Consult	Wen Jiabao	2005-12-06
Mario Monti	Consult	Barack Obama	2012-08-01
France	Consult	Tzipi Livni	2009-01-02
Shimon Peres	Consult	Emaar Properties	2005-02-18
China	Engage in diplomatic cooperation	Iran	2008-01-29
Malaysia	Sign formal agreement	Japan	2005-05-30
China	Express intent to cooperate	Japan	2008-12-15
France	Consult	China	2014-04-08
Sudan	Express intent to cooperate	South Sudan	2012-08-04
China	Sign formal agreement	Japan	2015-03-22
China	Meet at a 'third' location	Iran	2009-10-11
Raúl Castro	Consult	Xi Jinping	2012-07-04
Cabinet / Council of Ministers / Advisors (Japan)	Consult	Lawmaker (Japan)	2005-02-08
Business (Canada)	Consult	Civil Aviation Authority	2014-10-29
Ali Abdullah Saleh	Consult	Representatives (Libya)	2010-03-28
South Korea	Express intent to cooperate	China	2007-02-16
Adil Abdul-Mahdi	Consult	Legislature (Bahrain)	2009-02-19
Frank Bainimarama	Consult	Party Member (Thailand)	2009-07-08
Iran	Consult	Iraq	2005-01-25
Lesotho	Sign formal agreement	Millennium Challenge Corporation	2007-05-24
Joachim Gauck	Consult	Algirdas Butkevičius	2013-07-12
Laos	Engage in negotiation	Vietnam	2005-07-29
China	Sign formal agreement	UN Security Council	2006-09-05
Ethiopia	Express intent to cooperate	Sudan	2010-01-04
South Korea	Express intent to cooperate	China	2007-04-24
Barack Obama	Sign formal agreement	Iran	2015-07-15
Japan	Express intent to cooperate	China	2007-11-12
South Korea	Sign formal agreement	Congress (United States)	2011-10-17
Angela Merkel	Engage in negotiation	Benjamin Netanyahu	2009-08-27
United Arab Emirates	Consult	Iran	2013-08-13
Malaysia	Express intent to cooperate	South Africa	2005-06-27
Jacqui Smith	Express intent to cooperate	Boris Johnson	2009-01-27
China	Consult	South Korea	2011-04-24
China	Sign formal agreement	South Korea	2012-02-07
China	Consult	South Korea	2009-04-16
Rebel Group (Burundi)	Sign formal agreement	Government (Burundi)	2007-02-19
Police (Kenya)	Discuss by telephone	Agence France-Presse	2007-08-11
Shimon Peres	Consult	Mahmoud Abbas	2014-05-09
Barack Obama	Consult	Dmitry Anatolyevich Medvedev	2011-11-13
China	Consult	Freundel Jerome Stuart	2011-03-06
Sheikh Hamad bin Khalifa al-Thani	Engage in negotiation	Shimon Peres	2007-01-30
Eritrea	Sign formal agreement	Ethiopia	2006-03-06
Japan	Sign formal agreement	UN Security Council	2006-10-13
Government (Pakistan)	Consult	Foreign Affairs (India)	2008-05-21
Thailand	Express intent to cooperate	Malaysia	2012-09-09
Cabinet / Council of Ministers / Advisors (United States)	Consult	Saud bin Faisal bin Abdul-Aziz	2015-03-09
Michael Sata	Consult	Sylvia Masebo	2014-03-07
Cabinet / Council of Ministers / Advisors (United States)	Consult	Vincent C. Siew	2015-11-17
Japan	Consult	China	2006-01-16
Mahmoud Abbas	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-03-27
Minister Bogollagama	Engage in negotiation	A.K. Antony	2007-06-04
Bolivia	Consult	Evo Morales	2006-05-11
Mahmoud Abbas	Discuss by telephone	Javier Solana	2005-02-09
Benjamin Netanyahu	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-01-06
Military Personnel (Thailand)	Consult	Thailand	2008-08-07
Hashim Thaçi	Engage in negotiation	Lulzim Basha	2008-02-03
Andrius Kubilius	Express intent to cooperate	Aleksander Kwasniewski	2009-05-29
France	Consult	Ali Karimli	2005-11-11
Ethiopia	Engage in diplomatic cooperation	China	2014-05-04
Head of Government (South Korea)	Consult	Planning Commission (South Korea)	2008-02-28
Party Member (Taiwan)	Consult	Ma Ying Jeou	2008-03-01
Vietnam	Engage in diplomatic cooperation	Cambodia	2006-03-20
Abdulla Yameen	Engage in negotiation	Maithripala Sirisena	2015-07-28
Wen Jiabao	Consult	Laos	2012-05-28
Foreign Affairs (France)	Consult	Abdullah ibn Husayn al-Ahmar	2006-12-13
France	Consult	Romania	2005-04-30
South Korea	Consult	China	2009-09-28
