head	relation_x	tail	time
Eritrea	Host a visit	Isaias Afewerki	2008-08-15
Japan	Host a visit	Barack Obama	2010-11-27
Romania	Host a visit	Adrian Cioroianu	2008-01-21
Anandiben Patel	Host a visit	Smriti Irani	2014-06-14
Japan	Host a visit	Wen Jiabao	2007-04-07
Iraq	Host a visit	Jerry McNerney	2007-07-30
Foreign Affairs (Malaysia)	Host a visit	George Yeo	2008-04-17
Timor-Leste	Host a visit	Portugal	2006-06-03
China	Host a visit	Barack Obama	2014-10-02
Yemen	Host a visit	Sudan	2009-10-18
South Africa	Host a visit	Tony Blair	2006-02-13
China	Host a visit	Wen Jiabao	2008-06-24
Vietnam	Host a visit	Wen Jiabao	2010-10-29
Iran	Host a visit	Vietnam	2006-12-23
Kazakhstan	Host a visit	Xi Jinping	2015-04-14
Iraq	Host a visit	Defense / Security Ministry (United States)	2011-09-07
Japan	Host a visit	International Monetary Fund	2012-10-12
Iran	Host a visit	Nuri al-Maliki	2009-01-03
China	Host a visit	Xi Jinping	2013-04-21
China	Host a visit	Vietnam	2006-08-26
China	Host a visit	Antonis Samaras	2013-05-21
Iran	Host a visit	Mahmoud Ahmadinejad	2013-06-26
Thailand	Host a visit	Abhisit Vejjajiva	2010-10-19
China	Host a visit	Admiral (Russia)	2009-04-06
China	Host a visit	American University in Cairo	2013-02-19
Degife Bula	Host a visit	China	2006-02-17
China	Host a visit	Mikhail Yefimovich Fradkov	2006-11-07
Malawi	Host a visit	Jack McConnell	2005-11-02
Iran	Host a visit	Mahmoud Ahmadinejad	2010-06-01
France	Host a visit	Mohamed Ould Abdel Aziz	2012-11-21
Bolivia	Host a visit	Rafael Correa	2009-10-17
Ethiopia	Host a visit	Barack Obama	2015-08-02
China	Host a visit	Abdullah Gül	2009-06-25
Kuwait	Host a visit	Mahmoud Abbas	2005-09-14
Japan	Host a visit	Lee Myung Bak	2008-12-22
China	Host a visit	Head of Government (Turkmenistan)	2006-03-14
Vietnam	Host a visit	China	2007-07-06
Japan	Host a visit	South Korea	2011-03-12
Angola	Host a visit	Xi Jinping	2010-11-21
Iran	Host a visit	Economic Cooperation Organization	2009-03-08
Cambodia	Host a visit	Military Personnel (Thailand)	2010-09-02
China	Host a visit	Wen Jiabao	2009-02-08
United Arab Emirates	Host a visit	Lee Myung Bak	2011-03-12
Japan	Host a visit	Angola	2012-12-14
Kuwait	Host a visit	Ali Abdullah Saleh	2006-01-16
South Sudan	Host a visit	South Korea	2011-10-03
Kuwait	Host a visit	Gholamali Haddad Adel	2008-10-29
South Korea	Host a visit	France	2005-05-10
Middle East	Host a visit	Angela Merkel	2007-03-29
South Korea	Host a visit	Abhisit Vejjajiva	2009-05-28
Romania	Host a visit	Roh Moo Hyun	2006-09-06
Iran	Host a visit	Abdullah Gül	2011-02-15
South Korea	Host a visit	Zhang Dejiang	2015-07-07
France	Host a visit	Irakli Alasania	2014-10-28
Foreign Affairs (Nepal)	Host a visit	Prachanda	2011-11-14
Iraq	Host a visit	Barack Obama	2009-10-17
South Korea	Host a visit	Nuri al-Maliki	2007-04-12
China	Host a visit	Abdullah Gül	2009-06-24
China	Host a visit	Kim Kye Gwan	2007-12-18
Kuwait	Host a visit	Ministry (Iran)	2014-11-16
Iran	Host a visit	France	2015-09-21
Tony Blair	Host a visit	Mahmoud Abbas	2006-12-19
South Korea	Host a visit	Lee Myung Bak	2008-08-06
Iran	Host a visit	Kazakhstan	2013-11-06
China	Host a visit	Mahmoud Ahmadinejad	2008-11-22
Oluṣẹgun Ọbasanjọ	Host a visit	Muhammadu Buhari	2015-01-14
Japan	Host a visit	Wen Jiabao	2007-04-06
Vietnam	Host a visit	Foreign Affairs (India)	2011-09-19
Iran	Host a visit	Heinz Fischer	2015-07-19
South Korea	Host a visit	Ali Abdullah Saleh	2005-03-15
Iran	Host a visit	Mahmoud Abbas	2015-08-12
Vietnam	Host a visit	Malaysia	2010-05-13
Iran	Host a visit	Head of Government (Turkmenistan)	2007-06-21
Ireland	Host a visit	Barack Obama	2012-08-07
Kuwait	Host a visit	Iran	2011-08-10
South Sudan	Host a visit	Sudan	2005-08-02
Malaysia	Host a visit	Samuel Sitta	2008-08-06
Vietnam	Host a visit	Military (Laos)	2007-10-02
Japan	Host a visit	A.K. Antony	2013-12-17
Japan	Host a visit	Head of Government (Mongolia)	2010-10-22
Guatemala	Host a visit	Emperor Akihito	2014-09-30
China	Host a visit	Military Personnel (India)	2012-06-15
Japan	Host a visit	People First Party Korea	2013-11-23
China	Host a visit	Kuomintang	2006-10-30
China	Host a visit	Jin Renqing	2005-06-25
Sudan	Host a visit	Special Rapporteurs of the United Nations	2012-11-14
Kazakhstan	Host a visit	China	2008-10-30
Citizen (Australia)	Host a visit	Julia Gillard	2011-01-12
Djibouti	Host a visit	Mahmoud Abbas	2010-07-08
China	Host a visit	Barack Obama	2010-12-28
Thailand	Host a visit	Activist (United States)	2006-01-31
South Korea	Host a visit	Henry M. Paulson	2007-03-08
Japan	Host a visit	Kim Jong Pil	2005-08-27
Congress (Argentina)	Host a visit	Cristina Fernández de Kirchner	2012-12-13
South Africa	Host a visit	China	2013-06-27
United Arab Emirates	Host a visit	Kuwait	2015-05-14
Barack Obama	Host a visit	Benjamin Netanyahu	2010-03-24
France	Host a visit	Ramtane Lamamra	2013-12-04
Japan	Host a visit	South Korea	2013-07-22
Eritrea	Host a visit	Isaias Afewerki	2006-03-14
China	Host a visit	Kuomintang	2005-04-29
Republic of South Ossetia	Host a visit	Rashid Gumarovich Nurgaliyev	2014-04-30
Iran	Host a visit	Mahmoud Ahmadinejad	2009-05-23
Kuwait	Host a visit	Mahmoud Abbas	2014-03-26
Supreme Council (Iraq)	Host a visit	Nuri al-Maliki	2007-11-27
Japan	Host a visit	Abdul-Karim Al-Arhabi	2008-04-10
Iraq	Host a visit	Head of Government (Egypt)	2013-03-05
Surakiart Sathirathai	Host a visit	Shaukat Aziz	2005-05-08
Iran	Host a visit	Head of Government (Burundi)	2013-04-09
Iran	Host a visit	Mahmoud Ahmadinejad	2012-02-28
Iran	Host a visit	Javier Solana	2006-06-28
South Korea	Host a visit	Envoy (United States)	2009-09-05
Malaysia	Host a visit	Head of Government (South Korea)	2010-12-10
Mauritania	Host a visit	Soumeylou Boubèye Maiga	2011-05-17
Iran	Host a visit	Ali Tayyebnia	2015-07-05
Vietnam	Host a visit	Joon Young Woo	2006-11-15
China	Host a visit	Andrzej Lepper	2006-11-30
Cambodia	Host a visit	Barack Obama	2015-03-20
China	Host a visit	Lien Chan	2005-07-31
Malaysia	Host a visit	Moro Islamic Liberation Front	2012-07-17
United Arab Emirates	Host a visit	Elizabeth II	2010-11-25
China	Host a visit	Council for National Security	2007-01-25
China	Host a visit	Mwai Kibaki	2005-08-18
China	Host a visit	France	2008-05-27
China	Host a visit	Donald Rumsfeld	2005-11-14
Vietnam	Host a visit	Association of Southeast Asian Nations	2010-10-26
Secretariat (Nigeria)	Host a visit	Head of Government (Ghana)	2014-11-05
China	Host a visit	Wen Jiabao	2007-07-15
Iraq	Host a visit	Jack Straw	2006-04-22
Mexico	Host a visit	Lawyer/Attorney (United States)	2005-06-16
Sudan	Host a visit	High Commission for Refugees	2014-10-23
South Sudan	Host a visit	Joseph Ukel	2012-05-30
Qatar	Host a visit	Mahmoud Abbas	2008-11-30
Iran	Host a visit	Sergey Kuzhugetovich Shoygu	2015-01-29
Iran	Host a visit	Javier Solana	2008-06-16
Middle East	Host a visit	Pakistan People's Party	2015-04-09
Iran	Host a visit	Mahmoud Ahmadinejad	2010-04-29
Middle East	Host a visit	George Yeo	2007-05-27
Foreign Affairs (South Africa)	Host a visit	Mohamed Ould Abdel Aziz	2014-03-17
South Africa	Host a visit	Hilary Armstrong	2006-01-13
Iran	Host a visit	Omar Halleslevens	2013-08-04
Iran	Host a visit	Sergey Vladilenovich Kiriyenko	2006-02-23
China	Host a visit	Lucy Kibaki	2005-08-22
Niger	Host a visit	France	2010-09-22
Angola	Host a visit	France	2015-07-02
Middle East	Host a visit	Foreign Affairs (France)	2007-09-10
Alexei Miller	Host a visit	Businessperson (Germany)	2014-04-02
Kazakhstan	Host a visit	Shimon Peres	2009-06-30
Vietnam	Host a visit	Naval (United States)	2015-04-06
Iraq	Host a visit	Muhammad Naji al-Otari	2011-01-12
China	Host a visit	Kim Kye Gwan	2007-07-17
Middle East	Host a visit	Roh Moo Hyun	2007-03-29
Tanzania	Host a visit	Wen Jiabao	2006-06-22
Thailand	Host a visit	High Commission for Refugees	2006-08-28
Middle East	Host a visit	Roh Moo Hyun	2007-03-30
Chongwadai	Host a visit	Lee Myung Bak	2008-02-18
Mexico	Host a visit	Roh Moo Hyun	2005-09-09
Kuwait	Host a visit	Iran	2006-04-16
Royal Administration (Saudi Arabia)	Host a visit	Mahmoud Abbas	2008-12-28
Japan	Host a visit	Barack Obama	2010-11-23
Iran	Host a visit	Nabih Berri	2014-02-16
Cambodia	Host a visit	Thailand	2007-08-28
Middle East	Host a visit	Javier Solana	2008-09-13
Mexico	Host a visit	Tourist (Colombia)	2014-01-23
Iraq	Host a visit	Defense / Security Ministry (United States)	2011-04-07
Mexico	Host a visit	Benedict XVI	2007-06-05
France	Host a visit	Japan	2015-01-11
Iran	Host a visit	Mahmoud Ahmadinejad	2010-04-24
Head of Government (Turkmenistan)	Host a visit	Zhang Dejiang	2014-05-13
China	Host a visit	Ismaïl Omar Guelleh	2006-11-06
Iran	Host a visit	Abdullah Gül	2006-06-26
France	Host a visit	Ministry (Egypt)	2007-10-21
Peacekeeping Troop (Sudan)	Host a visit	UN Security Council	2008-06-05
Japan	Host a visit	China	2011-03-12
China	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2010-10-31
South Korea	Host a visit	Grand National Party	2011-08-01
Iran	Host a visit	Mahmoud Ahmadinejad	2013-04-14
China	Host a visit	Lien Chan	2005-04-25
Iran	Host a visit	Nonaligned Movement	2012-08-22
South Korea	Host a visit	Japan	2014-04-16
Iraq	Host a visit	Jack Straw	2005-11-22
Mohamed Ibn Chambas	Host a visit	Head of Government (Germany)	2008-11-14
Thailand	Host a visit	China	2013-09-10
Kuwait	Host a visit	Member of Legislative (Govt) (Iran)	2015-03-12
Iraq	Host a visit	Jawad al-Bulani	2008-09-17
Vietnam	Host a visit	Juan Carlos I	2006-02-15
South Africa	Host a visit	Xi Jinping	2015-12-05
Vietnam	Host a visit	Daniel Ortega	2007-01-16
United Arab Emirates	Host a visit	Tony Blair	2006-12-20
United Arab Emirates	Host a visit	Thailand	2010-02-05
Thailand	Host a visit	Wen Jiabao	2012-12-12
Djibouti	Host a visit	France	2013-02-23
Fishermen (Vietnam)	Host a visit	China	2010-08-01
Vietnam	Host a visit	Herman Van Rompuy	2012-10-31
Japan	Host a visit	Pham Binh Minh	2015-07-30
Cabinet / Council of Ministers / Advisors (United States)	Host a visit	Milo Djukanovic	2010-02-05
Education (United States)	Host a visit	Armed Gang (Palestinian Territory, Occupied)	2007-05-06
China	Host a visit	Jason C. Hu	2005-06-07
Kazakhstan	Host a visit	Lee Myung Bak	2012-09-12
United Arab Emirates	Host a visit	Mahmoud Ahmadinejad	2012-04-24
China	Host a visit	Islam Karimov	2014-08-20
China	Host a visit	Lee Myung Bak	2008-10-21
Industry (Turkey)	Host a visit	Foreign Affairs (Macedonia)	2007-10-18
Japan	Host a visit	Health Ministry (Iran)	2015-02-22
France	Host a visit	Barack Obama	2015-11-17
Japan	Host a visit	Wen Jiabao	2007-03-28
Saudi Arabian Defence Forces	Host a visit	Abdul Aziz	2006-02-02
Swaziland	Host a visit	Don McKinnon	2006-12-14
Malaysia	Host a visit	Moro Islamic Liberation Front	2006-02-10
Middle East	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2007-02-18
Qatar	Host a visit	Mohamed Ibn Chambas	2014-09-11
Malaysia	Host a visit	William J. Fallon	2006-03-03
China	Host a visit	Wen Jiabao	2008-05-25
Kuwait	Host a visit	Kostyantyn Gryshchenko	2011-01-24
China	Host a visit	Barack Obama	2014-10-16
Mikulas Dzurinda	Host a visit	Tony Blair	2006-03-09
Kuwait	Host a visit	Chongwadai	2015-03-13
Aceh	Host a visit	Medical Personnel (Australia)	2005-01-09
Vietnam	Host a visit	Gerhard Schröder	2006-03-16
South Korea	Host a visit	Lee Myung Bak	2015-04-29
Colombia	Host a visit	Ted Poe	2014-12-07
Iraq	Host a visit	Wang Yi	2014-02-23
Iran	Host a visit	Abu Bakr Abdullah al-Qirbi	2007-03-08
The Hague	Host a visit	William Ruto	2010-11-15
Cambodia	Host a visit	Association of Southeast Asian Nations	2012-10-27
Iran	Host a visit	Mahmoud Ahmadinejad	2006-07-02
Guatemala	Host a visit	Donald Rumsfeld	2005-03-16
France	Host a visit	Muhammadu Buhari	2015-09-23
Malaysia	Host a visit	Wen Jiabao	2005-12-02
China	Host a visit	Barack Obama	2009-11-20
South Korea	Host a visit	Japan	2005-10-23
China	Host a visit	Lien Chan	2006-04-21
Mexico	Host a visit	Barack Obama	2009-03-19
Vietnam	Host a visit	High Commission for Refugees	2005-08-05
Iraq	Host a visit	Tony Blair	2007-05-19
Iraq	Host a visit	Iran	2008-03-07
South Korea	Host a visit	Roh Moo Hyun	2007-05-19
France	Host a visit	Ali Abdullah Saleh	2007-06-25
Thailand	Host a visit	Prem Tinsulanonda	2006-02-16
South Korea	Host a visit	Donald Rumsfeld	2005-11-01
South Korea	Host a visit	Foreign Affairs (Israel)	2012-07-26
France	Host a visit	Vuk Jeremić	2008-02-20
France	Host a visit	Togo	2015-09-12
Iran	Host a visit	Mahmoud Ahmadinejad	2011-08-15
Iran	Host a visit	Julie Bishop	2015-04-16
Sudan	Host a visit	China	2007-05-23
South Korea	Host a visit	George Yeo	2007-06-04
Vanuatu	Host a visit	Winston Peters	2006-06-12
Iran	Host a visit	Vietnam	2006-12-25
Ethiopia	Host a visit	Mwai Kibaki	2008-06-13
China	Host a visit	Islam Karimov	2005-06-21
Ireland	Host a visit	Charles Haughey	2009-06-02
China	Host a visit	Defense / Security Ministry (United States)	2007-12-03
China	Host a visit	Vietnam	2007-05-22
China	Host a visit	Lawmaker (Hong Kong)	2014-04-11
Sudan	Host a visit	South Korea	2007-08-20
Lesotho	Host a visit	Kamalesh Sharma	2011-04-21
John Baird	Host a visit	Elizabeth II	2015-02-20
China	Host a visit	Japan	2014-04-02
Japan	Host a visit	Envoy (United States)	2006-04-10
Vietnam	Host a visit	Tomás Borec	2015-03-12
Iraq	Host a visit	Tony Blair	2006-05-28
Iran	Host a visit	Staffan de Mistura	2015-07-21
South Africa	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2012-08-09
China	Host a visit	Japan	2015-11-04
Secretariat (Southern African Development Community)	Host a visit	Rupiah Banda	2011-06-07
France	Host a visit	Xi Jinping	2015-03-31
Kazakhstan	Host a visit	Islam Karimov	2011-06-14
Chongwadai	Host a visit	U.S. Forces Korea	2010-12-20
United Arab Emirates	Host a visit	Mahmoud Ahmadinejad	2012-04-12
Zillur Rahman	Host a visit	China	2012-10-21
China	Host a visit	Head of Government (South Korea)	2011-04-14
Sheikh Hamad bin Isa al Khalifah	Host a visit	Envoy (United States)	2009-04-21
Malaysia	Host a visit	Association of Southeast Asian Nations	2015-04-27
China	Host a visit	Mahmoud Ahmadinejad	2006-06-17
France	Host a visit	Andreas Lubitz	2015-04-03
Vietnam	Host a visit	Chuck Hagel	2006-10-06
Angola	Host a visit	João Baptista Kussumua	2010-05-31
Barack Obama	Host a visit	Mahmoud Abbas	2010-06-08
Iran	Host a visit	Gerhard Schröder	2009-02-19
China	Host a visit	Pervez Musharraf	2006-04-26
Vietnam	Host a visit	Dominican Republic	2007-09-04
Tanzania	Host a visit	Mwai Kibaki	2007-01-16
Yemen	Host a visit	Seyoum Mesfin	2007-01-25
Iran	Host a visit	Mahmoud Ahmadinejad	2007-01-05
Abdul Aziz	Host a visit	Media (United States)	2007-06-14
Ethiopia	Host a visit	Barack Obama	2015-06-25
Madagascar	Host a visit	Indigenous People (Bangladesh)	2006-04-28
France	Host a visit	Abdoulaye Wade	2008-09-19
Iraq	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2006-10-07
China	Host a visit	Lien Chan	2005-05-09
Foreign Affairs (Liberia)	Host a visit	Japan	2006-07-28
Mexico	Host a visit	Jaroslav Palas	2005-02-08
China	Host a visit	Congress (United States)	2014-08-16
France	Host a visit	Shimon Peres	2008-03-11
Dmitry Anatolyevich Medvedev	Host a visit	Shimon Peres	2009-08-18
China	Host a visit	Barack Obama	2014-03-14
China	Host a visit	Eduardo Rodríguez	2007-02-02
Mahmoud Abbas	Host a visit	James Wolfensohn	2005-11-08
Iran	Host a visit	Pilgrim (India)	2013-01-21
China	Host a visit	Kim Kye Gwan	2013-09-23
South Africa	Host a visit	Elizabeth Dipuo Peters	2013-09-14
Middle East	Host a visit	Barack Obama	2008-07-22
Qatar	Host a visit	Scholar (Somalia)	2009-03-17
Cambodia	Host a visit	Representatives (Vietnam)	2006-08-07
Iraq	Host a visit	Royal Administration (Jordan)	2008-08-13
China	Host a visit	New Party (Taiwan)	2005-07-07
France	Host a visit	Tony Blair	2006-06-12
China	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2009-02-04
Qatar	Host a visit	Mahmoud Abbas	2011-08-23
China	Host a visit	Media Personnel (Greece)	2007-10-17
China	Host a visit	Head of Government (Belarus)	2013-07-18
South Korea	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-02-13
Middle East	Host a visit	High Commission for Refugees	2007-02-23
Japan	Host a visit	Media Personnel (Iran)	2009-01-28
China	Host a visit	Barack Obama	2010-05-26
Iran	Host a visit	National Security Council of Georgia	2007-07-02
France	Host a visit	Roh Moo Hyun	2005-01-15
Iran	Host a visit	Foreign Affairs (Lebanon)	2015-10-14
Togo	Host a visit	Head of Government (Nigeria)	2010-03-01
Iran	Host a visit	Mahmoud Ahmadinejad	2010-06-17
Iran	Host a visit	Pilgrim (Pakistan)	2014-06-09
Yemen	Host a visit	George Yeo	2007-05-28
Japan	Host a visit	Alberto Fujimori	2007-10-06
Qatar	Host a visit	Mwai Kibaki	2008-12-01
Malaysia	Host a visit	Association of Southeast Asian Nations	2005-12-23
China	Host a visit	Vietnam	2006-04-01
Iran	Host a visit	Evo Morales	2010-10-27
Thailand	Host a visit	Kuwait	2006-06-12
Vietnam	Host a visit	Dmitry Anatolyevich Medvedev	2012-11-06
Eritrea	Host a visit	Isaias Afewerki	2007-01-23
China	Host a visit	Pervez Musharraf	2008-04-14
Laos	Host a visit	Thailand	2006-02-20
China	Host a visit	Head of Government (Belarus)	2005-12-06
Angola	Host a visit	Foreign Affairs (Congo)	2015-12-14
Kuwait	Host a visit	United Arab Emirates	2008-06-05
Cristina Fernández de Kirchner	Host a visit	Mahmoud Abbas	2009-11-23
Vietnam	Host a visit	Laos	2007-09-04
France	Host a visit	Popular Congress	2009-04-19
Iran	Host a visit	Abdullah Gül	2011-02-13
China	Host a visit	Straits Exchange Foundation	2015-08-24
Angola	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2009-08-10
Education (Iran)	Host a visit	Mahmoud Ahmadinejad	2006-11-03
South Africa	Host a visit	Hakainde Hichilema	2013-02-15
China	Host a visit	Ricardo Cabrisas	2011-12-27
Guatemala	Host a visit	Ma Ying Jeou	2009-05-24
United Arab Emirates	Host a visit	Head of Government (Qatar)	2015-09-18
Vietnam	Host a visit	Head of Government (Ukraine)	2012-11-13
Iran	Host a visit	UN Security Council	2005-02-03
Iran	Host a visit	Nuri al-Maliki	2006-09-12
The Hague	Host a visit	Ethiopia	2007-09-10
France	Host a visit	Macky Sall	2012-03-22
Education (United States)	Host a visit	Royal Administration (Spain)	2015-09-17
Japan	Host a visit	Grand National Party	2006-05-17
Sudan	Host a visit	High Commission for Refugees	2008-02-21
South Korea	Host a visit	Association of Southeast Asian Nations	2012-11-21
South Sudan	Host a visit	Omar Suleiman	2007-10-19
Middle East	Host a visit	Radoslaw Sikorski	2009-10-19
Iran	Host a visit	Mahmoud Abbas	2012-09-07
China	Host a visit	Yoshihiko Noda	2011-12-26
United Arab Emirates	Host a visit	Jakaya Mrisho Kikwete	2006-05-12
Air Force (South Africa)	Host a visit	Winnie Madikizela-Mandela	2013-12-14
Legislature (Turkey)	Host a visit	Mahmoud Abbas	2009-07-11
Oman	Host a visit	United Arab Emirates	2008-12-30
Romania	Host a visit	Radoslaw Sikorski	2010-09-06
China	Host a visit	Davit Usupashvili	2015-10-15
Business (Argentina)	Host a visit	Carlos Saul Menem	2014-06-06
Vietnam	Host a visit	Mikhail Yefimovich Fradkov	2006-02-21
Laos	Host a visit	Association of Southeast Asian Nations	2005-07-24
Iran	Host a visit	Valentin Sobolev	2008-04-30
China	Host a visit	Jakaya Mrisho Kikwete	2008-04-18
Kuwait	Host a visit	Mohamed Ould Abdel Aziz	2008-11-11
Iraq	Host a visit	Ministry (Iran)	2015-05-18
South Korea	Host a visit	Envoy (United States)	2008-07-16
South Korea	Host a visit	Japan	2008-02-12
Iran	Host a visit	Julie Bishop	2015-02-25
Kazakhstan	Host a visit	Iran	2013-04-06
China	Host a visit	A.K. Antony	2013-06-05
Royal Administration (Jordan)	Host a visit	Millennium Challenge Corporation	2015-10-19
China	Host a visit	Maithripala Sirisena	2015-03-24
Ethiopia	Host a visit	African Union	2013-02-06
Malaysia	Host a visit	Vietnam	2011-07-11
