head	relation_x	tail	time_x
Barack Obama	Express intent to cooperate	Japan	2014-04-23
Sebastian Kurz	Express intent to cooperate	Iran	2014-02-03
Barack Obama	Express intent to cooperate	China	2014-04-25
Malaysia	Express intent to cooperate	China	2014-05-15
Malaysia	Express intent to cooperate	China	2014-11-11
Malaysia	Express intent to cooperate	China	2014-04-11
Malaysia	Express intent to cooperate	China	2014-05-05
Malaysia	Express intent to cooperate	China	2014-05-20
Evangelos Venizelos	Express intent to cooperate	Antonis Samaras	2014-10-03
Japan	Express intent to cooperate	Vietnam	2014-05-22
Arseniy Yatsenyuk	Express intent to cooperate	Joseph Robinette Biden	2014-09-17
Japan	Express intent to cooperate	France	2014-06-04
Japan	Express intent to cooperate	France	2014-05-05
Japan	Express intent to cooperate	France	2014-07-29
Japan	Express intent to cooperate	France	2014-05-06
Japan	Express intent to cooperate	France	2014-01-09
Japan	Express intent to cooperate	France	2014-06-05
Japan	Express intent to cooperate	France	2014-09-26
Oommen Chandy	Express intent to cooperate	Citizen (India)	2014-10-17
John Kerry	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-21
International Monetary Fund	Express intent to cooperate	Serbia	2014-11-27
Kuwait	Express intent to cooperate	Iran	2014-06-18
Ravi Shankar Prasad	Express intent to cooperate	Citizen (India)	2014-08-13
Laos	Express intent to cooperate	Vietnam	2014-06-27
Paolo Gentiloni	Express intent to cooperate	Edgars Rinkevics	2014-12-23
Paolo Gentiloni	Express intent to cooperate	Foreign Affairs (Italy)	2014-12-23
Portugal	Express intent to cooperate	South Korea	2014-07-21
Vietnam	Express intent to cooperate	South Korea	2014-10-02
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-12-01
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-18
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-11-24
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-17
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-18
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-13
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-07
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-01
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-16
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-02
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-16
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-10-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-13
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-10-15
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-15
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-04
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-05
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-04
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-05-06
Barack Obama	Meet at a 'third' location	Xi Jinping	2014-03-25
Barack Obama	Meet at a 'third' location	Xi Jinping	2014-03-03
John Kerry	Meet at a 'third' location	Catherine Ashton	2014-11-02
John Kerry	Meet at a 'third' location	Catherine Ashton	2014-04-07
John Kerry	Meet at a 'third' location	Catherine Ashton	2014-11-10
Japan	Meet at a 'third' location	China	2014-11-16
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-07
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-17
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-18
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-18
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-14
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-01
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-04
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-24
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-05
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-08
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-04
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-16
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-10-15
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-06
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-31
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-06
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-15
China	Meet at a 'third' location	Japan	2014-11-16
Japan	Meet at a 'third' location	North Korea	2014-01-28
Japan	Meet at a 'third' location	North Korea	2014-05-20
Japan	Meet at a 'third' location	North Korea	2014-05-27
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-08-09
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-03-05
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-04-17
Barack Obama	Meet at a 'third' location	Benjamin Netanyahu	2014-07-18
Barack Obama	Meet at a 'third' location	Benjamin Netanyahu	2014-08-13
Barack Obama	Meet at a 'third' location	Benjamin Netanyahu	2014-08-14
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-06-17
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-30
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-10
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-07-19
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-18
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-09-01
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-09-05
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-05-27
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-05-26
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-15
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-16
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-02-18
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-25
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-03
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-27
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-26
China	Meet at a 'third' location	South Korea	2014-11-16
North Korea	Meet at a 'third' location	Japan	2014-09-29
North Korea	Meet at a 'third' location	Japan	2014-01-28
North Korea	Meet at a 'third' location	Japan	2014-03-02
North Korea	Meet at a 'third' location	Japan	2014-05-20
North Korea	Meet at a 'third' location	Japan	2014-05-27
South Korea	Meet at a 'third' location	China	2014-11-16
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-11-18
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-05-27
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-10-16
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-07-19
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-09-05
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-10-15
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-10-30
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-11-09
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-09-01
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-05-26
France	Meet at a 'third' location	China	2014-01-13
France	Meet at a 'third' location	China	2014-11-25
France	Meet at a 'third' location	China	2014-09-23
France	Meet at a 'third' location	China	2014-11-20
France	Meet at a 'third' location	China	2014-05-13
France	Meet at a 'third' location	China	2014-09-21
Umar al Bashir	Meet at a 'third' location	Sudan	2014-01-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-30
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-14
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-05
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-13
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-03
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-06-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-04
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-12
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-03
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-15
South Korea	Meet at a 'third' location	Japan	2014-03-26
South Korea	Meet at a 'third' location	Japan	2014-11-16
South Korea	Meet at a 'third' location	Japan	2014-03-27
Catherine Ashton	Meet at a 'third' location	John Kerry	2014-11-09
Catherine Ashton	Meet at a 'third' location	John Kerry	2014-04-07
Catherine Ashton	Meet at a 'third' location	John Kerry	2014-11-02
Catherine Ashton	Meet at a 'third' location	John Kerry	2014-11-10
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-11-23
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-11-22
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-07-24
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-12-15
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-12-16
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-11-23
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-07-24
Iran	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-14
Iran	Meet at a 'third' location	Mohammad Javad Zarif	2014-01-15
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-12-04
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-06-09
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-30
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-05-03
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-06-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-04-17
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-05
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-15
China	Meet at a 'third' location	France	2014-09-21
China	Meet at a 'third' location	France	2014-11-25
China	Meet at a 'third' location	France	2014-05-13
China	Meet at a 'third' location	France	2014-09-23
China	Meet at a 'third' location	France	2014-11-20
China	Meet at a 'third' location	France	2014-11-21
Mohammad Javad Zarif	Meet at a 'third' location	John Kerry	2014-02-03
Mohammad Javad Zarif	Meet at a 'third' location	John Kerry	2014-07-15
Mohammad Javad Zarif	Meet at a 'third' location	John Kerry	2014-11-10
Mohammad Javad Zarif	Meet at a 'third' location	John Kerry	2014-10-14
John Kerry	Meet at a 'third' location	Mohammad Javad Zarif	2014-02-03
John Kerry	Meet at a 'third' location	Mohammad Javad Zarif	2014-02-04
John Kerry	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-10
China	Meet at a 'third' location	Xi Jinping	2014-07-21
Catherine Ashton	Meet at a 'third' location	Iran	2014-06-03
Catherine Ashton	Meet at a 'third' location	Iran	2014-05-31
Catherine Ashton	Meet at a 'third' location	Iran	2014-05-27
Catherine Ashton	Meet at a 'third' location	Iran	2014-05-28
François Hollande	Meet at a 'third' location	Barack Obama	2014-05-17
François Hollande	Meet at a 'third' location	Barack Obama	2014-08-09
Iran	Meet at a 'third' location	France	2014-06-18
Tajikistan	Meet at a 'third' location	Iran	2014-03-29
Japan	Meet at a 'third' location	South Korea	2014-04-08
Japan	Meet at a 'third' location	South Korea	2014-03-26
Japan	Meet at a 'third' location	South Korea	2014-05-31
Xi Jinping	Meet at a 'third' location	France	2014-03-26
John Kerry	Meet at a 'third' location	Nasser Judeh	2014-02-20
Catherine Ashton	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-04
John Kerry	Meet at a 'third' location	Joseph Kabila	2014-05-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Mohammad Javad Zarif	2014-07-15
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-09
Iran	Meet at a 'third' location	Tajikistan	2014-03-29
Mohammad Javad Zarif	Meet at a 'third' location	Nonaligned Movement	2014-06-03
North Atlantic Treaty Organization	Meet at a 'third' location	Defense / Security Ministry (Ukraine)	2014-09-14
Foreign Affairs (United States)	Meet at a 'third' location	Iran	2014-03-19
Julie Bishop	Meet at a 'third' location	North Atlantic Treaty Organization	2014-09-03
Pope Francis	Meet at a 'third' location	European Parliament	2014-11-25
Evangelos Venizelos	Meet at a 'third' location	Foreign Affairs (Israel)	2014-09-28
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-06-26
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-12-29
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-04-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-03-13
Sergey Viktorovich Lavrov	Discuss by telephone	John Kerry	2014-07-21
