,head,relation,tail,time
410,Julia Gillard,Engage in symbolic act,Citizen (Australia),2013-01-17
411,Police (Australia),Investigate,Citizen (Australia),2008-12-29
412,China,Consult,Japan,2006-11-14
413,Cambodia,Consult,Laos,2008-11-04
414,Labor Union (Kyrgyzstan),Express intent to meet or negotiate,Citizen (Kyrgyzstan),2009-05-18
415,Rafael Correa,Demand intelligence cooperation,Colombia,2008-05-23
416,Barack Obama,Consult,Dmitry Anatolyevich Medvedev,2014-12-10
417,Lawyer/Attorney (Indonesia),Make statement,Police (Indonesia),2015-11-11
418,Ethiopia,Host a visit,Government (Sudan),2013-11-05
419,Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2012-08-23
420,Japan,Occupy territory,South Korea,2015-10-15
421,Naval (United States),Occupy territory,Romania,2014-10-10
422,China,"Arrest, detain, or charge with legal action",Criminal (China),2013-05-25
423,Citizen (Greece),Express accord,Antonis Samaras,2015-06-25
424,Abdel Fattah Al-Sisi,Make a visit,Sergey Kuzhugetovich Shoygu,2015-11-24
425,Military Personnel (Philippines),Reject,City Mayor (Philippines),2009-03-09
426,China,Host a visit,Somsavat Lengsava,2008-09-26
427,Supreme Council (South Korea),Consult,Grand National Party,2011-12-07
428,Iran,Host a visit,Javier Solana,2006-06-15
429,Foreign Affairs (France),Make a visit,Middle East,2006-07-23
430,Sudan,Praise or endorse,Attack Helicopter (Sudan),2007-04-16
431,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2015-01-25
432,Lawyer/Attorney (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2006-10-04
433,Wen Jiabao,Praise or endorse,Association of Southeast Asian Nations,2008-10-25
434,Shaukat Aziz,Make statement,Iran,2007-05-18
435,Police (Uganda),Investigate,Women (Uganda),2012-08-10
436,Lawmaker (Argentina),Make an appeal or request,Senate (Argentina),2007-07-05
437,Police (Sudan),"Arrest, detain, or charge with legal action",Citizen (Sudan),2010-04-11
438,Ethiopia,"Arrest, detain, or charge with legal action",Ogaden National Liberation Front,2009-08-07
439,Sudan,Occupy territory,South Sudan,2012-04-23
440,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2014-01-17
441,South Korea,Make statement,Iran,2015-08-24
442,Japan,Express intent to cooperate,China,2009-11-03
443,Citizen (Sudan),Appeal for military protection or peacekeeping,UN Security Council,2006-12-11
444,Japan,Express intent to meet or negotiate,Yoshihiko Noda,2012-08-21
445,Xi Jinping,Express intent to meet or negotiate,France,2014-01-24
446,Citizen (Nigeria),Accuse,Government (Nigeria),2014-06-30
447,Police (Philippines),Use conventional military force,Men (Philippines),2008-05-27
448,Jerzy Szmajdzinski,Express intent to de-escalate military engagement,Iraq,2005-04-25
449,Head of Government (Germany),Make a visit,China,2014-07-07
450,City Mayor (Philippines),Express intent to engage in diplomatic cooperation (such as policy support),Police (Philippines),2014-03-31
451,Japan,Make statement,South Korea,2006-04-21
452,Cabinet / Council of Ministers / Advisors (Japan),Praise or endorse,China,2015-01-14
453,Umaru Musa Yar'Adua,Make an appeal or request,Citizen (Nigeria),2008-10-27
454,China,Express intent to cooperate,Portugal,2009-05-06
455,France,Express intent to meet or negotiate,China,2015-04-02
456,Grand National Party,Criticize or denounce,Lee Myung Bak,2007-12-04
457,South Sudan,Engage in diplomatic cooperation,China,2012-04-09
458,Xi Jinping,Express intent to meet or negotiate,Malaysia,2013-09-26
459,Citizen (Nigeria),Praise or endorse,Emmanuel Eweta Uduaghan,2014-09-01
460,Jian Yu,Make statement,China,2009-04-22
461,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Kuwait,2006-02-25
462,Rafael Correa,Threaten to reduce or break relations,International Monetary Fund,2007-01-16
463,Ethiopia,Consult,Eritrea,2015-09-29
464,China,Host a visit,Envoy (United States),2005-08-13
465,Mahmoud Abbas,Consult,Catherine Ashton,2011-12-14
466,Lawyer/Attorney (Australia),Investigate,Citizen (Australia),2010-03-17
467,Police (Australia),Make an appeal or request,Cabinet / Council of Ministers / Advisors (Australia),2015-03-27
468,Japan,Express intent to cooperate,China,2008-12-15
469,Ethiopia,Host a visit,China,2012-09-04
470,Vietnam,Reject,China,2012-03-23
471,Ed Royce,Make a visit,South Korea,2013-01-08
472,Police (Israel),Investigate,Criminal (Israel),2014-12-29
473,Laos,Express intent to meet or negotiate,Association of Southeast Asian Nations,2013-11-20
474,Human Rights Commission (Pakistan),Make statement,Pervez Musharraf,2007-03-26
475,South Korea,Make statement,UN Security Council,2014-09-25
476,Other Authorities / Officials (Mexico),Impose administrative sanctions,Mexico,2007-06-08
477,Middle East,Host a visit,Benjamin Netanyahu,2009-09-13
478,China,Make a visit,South Korea,2014-07-01
479,France,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-02-20
480,Lawyer/Attorney (Australia),Make an appeal or request,Citizen (Australia),2015-11-25
481,Boris Johnson,Criticize or denounce,Citizen (United Kingdom),2007-10-01
482,Peace and Security Council,Make a visit,Sudan,2007-05-22
483,Alberto Fujimori,Make statement,Japan,2006-05-23
484,Police (Malaysia),"Arrest, detain, or charge with legal action",Men (Malaysia),2006-03-03
485,Catherine Ashton,Meet at a 'third' location,Iran,2012-04-14
486,Japan,Express intent to cooperate economically,Vietnam,2009-12-14
487,China,Engage in diplomatic cooperation,Iran,2015-10-14
488,Children (France),Express intent to meet or negotiate,France,2007-03-12
489,Media Personnel (Japan),Make an appeal or request,Japan,2013-10-19
490,Syrian Observatory for Human Rights,Make statement,Iraq,2013-11-04
491,Head of Government (Pakistan),Consult,Barack Obama,2009-05-19
492,Military Personnel - Special (Afghanistan),Use conventional military force,Insurgent (Afghanistan),2014-10-23
493,Media Personnel (China),Make statement,Iran,2013-06-19
494,Mario Monti,Make a visit,China,2012-11-30
495,African Union,Provide military aid,Citizen (Sudan),2005-10-25
496,Japan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2015-06-17
497,Armed Gang (Saudi Arabia),fight with small arms and light weapons,Citizen (Saudi Arabia),2015-10-16
498,Middle East,Host a visit,Barack Obama,2010-03-08
499,Mexico,Ease administrative sanctions,Other Authorities / Officials (Mexico),2010-01-30
500,Barack Obama,Make a visit,Japan,2014-04-24
501,Japan,Sign formal agreement,South Korea,2009-03-06
502,Blogger (Iran),Accuse,Mahmoud Ahmadinejad,2006-01-25
503,South Sudan,Sign formal agreement,Sudan,2012-10-14
504,Ministry (Iran),Make statement,Iran,2006-02-06
505,Envoy (United States),Rally opposition against,China,2007-04-19
506,Protester (Tanzania),"Protest violently, riot",Police (Tanzania),2012-06-05
507,South Korea,Consult,China,2010-10-28
508,Mahmoud Ahmadinejad,Make statement,Iran,2008-04-11
509,Thailand,Express intent to cooperate,Cambodia,2011-05-25
510,France,"Arrest, detain, or charge with legal action",Men (France),2012-06-20
511,Member of Parliament (Iraq),Criticize or denounce,Iraq,2008-10-24
512,Police (Uganda),"Arrest, detain, or charge with legal action",Citizen (Uganda),2013-10-17
513,Islam Karimov,Express intent to cooperate,Xi Jinping,2014-08-21
514,South Korea,Make statement,Ministry (South Korea),2012-12-01
515,Media Personnel (Lebanon),Express intent to meet or negotiate,Nabih Berri,2006-07-16
516,Protester (Thailand),"Obstruct passage, block",Thailand,2009-04-11
517,South Korea,Consult,China,2006-12-27
518,Laos,Consult,Vietnam,2006-12-06
519,Media (Africa),Consult,Police (Kenya),2008-07-16
520,Devlet Bahçeli,Criticize or denounce,Justice and Development Party,2007-04-28
521,Head of Government (Pakistan),Make statement,Pervez Musharraf,2007-11-04
522,Pech,Investigate,Citizen (United Kingdom),2005-09-15
523,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2008-12-18
524,Democratic Party,Make an appeal or request,Grand National Party,2011-09-21
525,China,Express intent to cooperate,South Korea,2007-11-21
526,Barack Obama,Consult,Benjamin Netanyahu,2015-03-01
527,Mahmoud Ahmadinejad,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2006-08-01
528,Benazir Bhutto,Demand,Pervez Musharraf,2007-09-16
529,Ashraf Ghani Ahmadzai,Consult,Associated Press,2014-07-14
530,Japan,Express intent to meet or negotiate,South Korea,2005-07-14
531,Military (Mali),Use conventional military force,Armed Rebel (Mali),2013-01-09
532,Foreign Affairs (France),Make an appeal or request,Iran,2014-11-05
533,Envoy (United States),Make a visit,China,2013-11-22
534,Other Authorities / Officials (Nigeria),Express intent to cooperate,Citizen (Nigeria),2015-10-22
535,Court Judge (United Kingdom),Accuse,Citizen (United Kingdom),2013-01-25
536,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2010-06-24
537,United Arab Emirates,"Arrest, detain, or charge with legal action",Criminal (United Arab Emirates),2009-04-03
538,Sheikh Mukhtar Robow,Accuse,Al-Shabaab,2013-08-05
539,Iran,Consult,Iraq,2007-08-14
540,China,Make statement,Criminal (China),2010-12-12
541,Kazakhstan,Host a visit,Vietnam,2015-05-29
542,Nonaligned Movement,Express intent to meet or negotiate,Iran,2012-06-02
543,Police (Australia),Investigate,Citizen (Australia),2008-01-04
544,Ma Ying Jeou,Make an appeal or request,Civil Servant (Taiwan),2009-09-17
545,Military (Russia),Use conventional military force,Armed Rebel (Russia),2005-04-19
546,Mahmoud Abbas,Praise or endorse,Envoy (United States),2012-04-21
547,Thailand,Consult,South Korea,2011-12-05
548,Eritrea,Make a visit,Sudan,2006-01-03
549,François Bozizé,Express intent to meet or negotiate,Sudan,2007-08-28
550,Ministry (Nigeria),Make statement,Government (Nigeria),2009-03-05
551,Emmanuel Eweta Uduaghan,Make an appeal or request,Citizen (Nigeria),2008-08-11
552,Lawyer/Attorney (Kenya),Make statement,Police (Kenya),2013-04-04
553,Mexico,Engage in diplomatic cooperation,Other Authorities / Officials (Mexico),2005-09-12
554,Media Personnel (Thailand),Praise or endorse,Abhisit Vejjajiva,2010-07-20
555,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2005-07-22
556,Human Rights Watch,Make an appeal or request,UN Security Council,2009-04-09
557,Military (Lebanon),Physically assault,Men (Lebanon),2013-07-18
558,Vietnam,Engage in diplomatic cooperation,Cambodia,2006-03-17
559,Thailand,Consult,Malaysia,2006-08-11
560,Barack Obama,Make statement,South Korea,2009-11-19
561,Police (Philippines),Make statement,Military Personnel (Philippines),2008-11-08
562,France,Host a visit,International Monetary Fund,2013-05-23
563,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2015-03-07
564,Foreign Affairs (Malaysia),Express intent to meet or negotiate,Cambodia,2008-10-21
565,Iran,Reject,UN Security Council,2006-09-09
566,Benazir Bhutto,Make statement,Pakistan People's Party,2007-10-30
567,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2011-05-22
568,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2010-05-18
569,Court Judge (Iraq),"Arrest, detain, or charge with legal action",Iraq,2006-01-19
570,Japan Self-Defense Forces,Provide military protection or peacekeeping,Sudan,2005-02-03
571,Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2008-07-22
572,Mahmoud Ahmadinejad,Make a visit,Iran,2006-07-21
573,Court Judge (United Kingdom),Make an appeal or request,Citizen (United Kingdom),2006-01-09
574,Head of Government (Greece),Make statement,Panhellenic Socialist Movement,2007-11-02
575,China,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2008-12-23
576,Hakainde Hichilema,Criticize or denounce,Michael Sata,2011-08-04
577,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2013-03-18
578,Emmanuel Eweta Uduaghan,Make statement,Government (Nigeria),2006-03-14
579,Xi Jinping,Make statement,China,2013-10-07
580,Japan,Express intent to cooperate,China,2006-03-07
581,Cabinet / Council of Ministers / Advisors (United States),Make a visit,Middle East,2012-11-21
582,Boko Haram,Use conventional military force,Citizen (Nigeria),2012-01-10
583,China,Consult,Japan,2005-09-21
584,Mahmoud Ahmadinejad,Engage in diplomatic cooperation,Qatar,2008-02-28
585,Eritrea,Express intent to cooperate,Ethiopia,2006-02-08
586,Citizen (Brazil),Make an appeal or request,Sérgio de Oliveira Cabral Santos Filho,2006-08-02
587,Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico),2010-02-09
588,Shimon Peres,Make statement,Middle East,2005-02-26
589,Barack Obama,Express intent to cooperate,Benjamin Netanyahu,2015-03-19
590,China,Consult,South Korea,2009-10-10
591,Mahmoud Ahmadinejad,Make statement,Iran,2010-08-05
592,Cabinet / Council of Ministers / Advisors (United States),Consult,Benjamin Netanyahu,2010-08-25
593,Julia Gillard,Praise or endorse,Cabinet / Council of Ministers / Advisors (Australia),2012-08-26
594,Police (Australia),Seize or damage property,Citizen (Australia),2010-01-03
595,Ministry (Nigeria),Make statement,Government (Nigeria),2008-12-24
596,Wen Jiabao,Make an appeal or request,China,2007-07-14
597,China,Express intent to meet or negotiate,Japan,2015-03-17
598,Muslim (Nigeria),Criticize or denounce,Citizen (Nigeria),2006-02-22
599,Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2013-06-13
600,Member of Parliament (Australia),Praise or endorse,People Associated with the Opposition (Australia),2015-07-30
601,South Africa,Consult,Tanzania,2010-02-02
602,Barack Obama,Make a visit,Northern Ireland,2013-06-24
603,Yemen,Make statement,Iran,2015-05-13
604,Lawyer/Attorney (United Kingdom),Make an appeal or request,News Editor (United Kingdom),2006-12-24
605,Democratic Party,Make an appeal or request,Police (Uganda),2007-01-25
606,Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico),2014-07-26
607,Media Personnel (Australia),Praise or endorse,Lawyer/Attorney (Australia),2011-06-05
608,Lawyer/Attorney (Australia),Demand,Citizen (Australia),2013-07-18
609,Citizen (United Kingdom),Threaten,Businessperson (United Kingdom),2006-07-20
610,Mahmoud Ahmadinejad,Make statement,Iran,2011-04-09
611,Iran,Ease administrative sanctions,Business (Iran),2014-10-05
612,South Korea,Make statement,China,2005-08-02
613,Citizen (Australia),Make an appeal or request,Lawyer/Attorney (Australia),2007-04-20
614,Benjamin Netanyahu,Praise or endorse,Likud,2014-05-29
615,Abhisit Vejjajiva,Accuse,Citizen (Thailand),2010-05-23
616,Iran,Engage in negotiation,UN Security Council,2009-09-30
617,A.K. Antony,Engage in negotiation,United Progressive Alliance,2008-06-25
618,Barack Obama,Criticize or denounce,China,2015-11-20
619,Citizen (Saudi Arabia),Express intent to meet or negotiate,Yemen,2015-08-07
620,Admiral (Iran),Make statement,Iran,2013-12-07
621,Military (Philippines),Use conventional military force,Abu Sayyaf,2008-11-15
622,Japan,Consult,China,2006-07-26
623,Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2005-11-08
624,Mahmoud Ahmadinejad,Make statement,Ministry (Iran),2005-08-24
625,Criminal (Sudan),Use unconventional violence,Employee (Sudan),2008-04-10
626,International Monetary Fund,Make a visit,Japan,2006-05-24
627,Other Authorities / Officials (Russia),Confiscate property,Boris Abramovich Berezovsky,2012-05-02
628,Lawmaker (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2006-11-01
629,Mahmoud Abbas,Consult,Head of Government (Egypt),2011-01-24
630,Sheikh Hamad bin Isa al Khalifah,Consult,Mahmoud Abbas,2005-06-14
631,Xi Jinping,Engage in negotiation,Ma Ying Jeou,2015-11-08
632,Gerhard Schröder,Reject,Iraq,2005-10-03
633,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-05-24
634,Head of Government (India),Criticize or denounce,Labor Union (India),2013-08-14
635,Cambodia,"Arrest, detain, or charge with legal action",Indigenous People (Thailand),2011-01-22
636,Police (Australia),Investigate,Citizen (Australia),2009-04-21
637,Police (New Zealand),"Arrest, detain, or charge with legal action",Children (New Zealand),2007-05-15
638,Wen Jiabao,Make statement,China,2009-05-20
639,Klaus Johannis,Make statement,Romania,2015-06-17
640,International Monetary Fund,Make an appeal or request,Portugal,2009-12-03
